Gene,Score
SGMS1,0.999847081599545
CASC1,0.998908771795424
RAB21,0.998566880659901
RBIS,0.998417549434367
CEP350,0.998349714510503
PLEKHA8,0.998307718713507
C10orf67,0.997501041724538
TMTC2,0.996581455775114
PBX1,0.996113071559597
PLPPR4,0.994545494158796
AKAP5,0.992507725847556
GPR85,0.992429421406622
FAM160B1,0.992069748098853
SH3RF2,0.991839936587912
CCNJ,0.991441634098321
SMIM17,0.989601739565334
OLIG2,0.988906858175121
LGALSL,0.987475008510402
LCA5,0.987388403618097
SPARC,0.987206478651997
VLDLR,0.986305864480411
MSL3,0.984491822937133
ELOF1,0.984385626207045
RBFOX1,0.984318248720011
SQLE,0.98366996465507
MAP4K4,0.983506180199205
ENST00000378688,0.983373902214544
KIAA1217,0.983311826051416
ERCC6,0.982846569095581
GRIN2A,0.982242682963328
RNF138,0.982169291183666
EBF2,0.981856049089017
CACNA1I,0.981557575468581
NFIA,0.98071658773465
VCAN,0.980486275086335
PCDHA10,0.979802325233379
PRPF4B,0.979130700424142
SKP2,0.979127015860026
AKAP7,0.978549657361436
YY1,0.978522112421369
PIP4K2A,0.978315509095752
FEM1B,0.978005643447512
ITGB8,0.975400178889232
KIAA0513,0.975290598569717
HORMAD2,0.974891538767827
ARMC8,0.973927930998505
PTEN,0.973450012588611
PSMA8,0.972378389336684
CYSLTR1,0.969558378095385
ZRANB2,0.969363078336451
MTMR9,0.96801613254873
ANKRD44,0.966050208610286
DELE1,0.964537094608444
INA,0.964067786325246
ST6GALNAC3,0.96380294012986
MPC2,0.963787281531127
COMMD10,0.963751099206562
KCTD6,0.959908346479196
DDX53,0.959007063624386
JAZF1,0.958883141625657
NUDCD1,0.958775233040616
RFX3,0.958393962274724
TCF24,0.956675565906174
TEX33,0.95542215301432
AGO1,0.955225170950152
EIF4A2,0.953548175428669
VSNL1,0.953086565109849
LRIT1,0.951410218089186
UBQLN2,0.950987651898892
RDX,0.950309634865877
SENP5,0.949221968453874
NDUFS1,0.946371226184567
DPYSL5,0.945289373352821
ATP6V1C2,0.945243291220463
ZBTB41,0.944834325708879
HOOK1,0.942974013420668
ADGRV1,0.94248955327361
YWHAH,0.942287616466528
BICD1,0.942058126619767
KATNA1,0.940425927755637
GEMIN6,0.940420587595827
SLIT2,0.940383386645004
GINS3,0.939976928150413
SLC35E3,0.939023904051254
BOD1L1,0.938795400250022
VEGFA,0.938177267521572
SLC25A36,0.937883813696021
HTATIP2,0.937875993981396
BRD8,0.93720703308182
BMP3,0.936626174318076
KBTBD8,0.936232430660095
STMN2,0.935176568272024
FAM120A,0.935109559804372
ACVR2B,0.933783513899867
PPP4R2,0.933446424641818
PLCE1,0.933140851340477
SIRPA,0.932320050363501
TANC2,0.929830722888722
ZFP64,0.928897252574815
INAVA,0.92759891210266
HEATR5A,0.927514071685249
CCDC80,0.927019288901223
NR4A3,0.926586707019348
GPX2,0.924504216534764
C9orf72,0.92428055134297
WDR63,0.924023849436844
HAS3,0.921598741721997
TENT5A,0.921483780904941
PSMD13,0.92115509575942
RELCH,0.920768465766054
FRMD3,0.91840771436635
JAKMIP1,0.915356840630138
GRIP1,0.91430367294957
GABRB2,0.911670021361608
KPNA1,0.91123286927508
HBP1,0.910411429406119
SLC49A4,0.909335674856178
IDH1,0.9085179529807
SLC35G2,0.907933059298079
USP9X,0.90792459352123
NEXMIF,0.907528940900747
ENST00000558190,0.906083836729219
CSRNP2,0.904810388581303
FMR1,0.904518290661378
FLRT2,0.903866669722461
ABL2,0.902828600723565
COL3A1,0.901228800391403
CHL1,0.901046105124988
ITGAV,0.898337719151977
RABEP1,0.896446251126908
TXLNG,0.895151250887319
IFI44L,0.895145862345063
SGIP1,0.894838322079387
IL5RA,0.893666211537653
KDM6A,0.893288412668352
ZNF148,0.892238036285509
XPO1,0.890679515674628
ZC3H14,0.888506743683422
FAXC,0.886240342949707
KIDINS220,0.885095852791732
RAD51AP1,0.885007538506504
MYO5A,0.883585362168968
PI15,0.882942486107679
ZNF397,0.881362374798938
ZNF507,0.881279329529999
FAM167A,0.881032101674747
DRAM1,0.878278824507567
ITGA2,0.877161545416614
DGKB,0.874498732788205
SLC20A1,0.874322514251514
TFEB,0.874207350990207
CLIP3,0.873771499615075
EIF3J,0.873571464695028
CYSTM1,0.87340139510604
ENST00000331837,0.873069919942228
MSL2,0.872784645976242
EYA1,0.871988465844546
C1orf21,0.870885523011802
ERGIC1,0.869655696868693
NAMPT,0.868565386990539
DNAJB5,0.86854917775056
CLDN1,0.868414937084819
MMP16,0.864565914168846
NR1D2,0.863425783833209
ENST00000568107,0.862735980458971
KNOP1,0.86253657091842
TMEM134,0.862379738401906
FHL1,0.862139318652316
FIGN,0.861287526074364
COL8A1,0.861210826221111
GOLGA7,0.861187733837368
CCDC141,0.860533014000746
DNM3,0.860355640880338
SLC25A13,0.859499114118468
MOBP,0.859275996858706
TMEM167B,0.858457929543002
SETDB2,0.85814935932074
MSANTD3,0.857868604184984
OR6C4,0.856609807678626
LUC7L2,0.856107941237178
GPATCH2,0.855650806113597
ENST00000622544,0.855369054219936
TIPARP,0.854714298285965
COL9A1,0.854641482624649
UBLCP1,0.853759863860062
COL4A3,0.852002238183451
CDK8,0.850446757491554
SNX17,0.850356512631789
PDE1C,0.850160681905607
SGCB,0.848905424465986
RNF34,0.848510683512149
CEP85L,0.848062509560293
ENTPD7,0.847951965864221
RARRES1,0.84765594017863
USP31,0.84696916742741
UBE2E1,0.846260533180349
ADAMTS9,0.846222551197625
CDK16,0.846179000683459
BNC2,0.846172712366565
COL6A3,0.845764605080846
PDS5B,0.845724227230475
MGAT4A,0.84484765839862
SLITRK5,0.844484375724654
PAFAH1B1,0.844442511747847
PRMT9,0.844380396347361
RSPH3,0.843762378413337
STK32A,0.843743386756878
CELF2,0.843067837778576
COL1A2,0.842184504480002
YBX3,0.842091830296875
ERICH3,0.841439289438468
RIMS1,0.840554389098362
SLCO5A1,0.840368183705893
AFF3,0.839219500032957
TRIM5,0.839076064406835
SH3PXD2A,0.838092427153935
CDYL2,0.838087332634263
PLAG1,0.838077096687356
SVIL,0.837367315211671
PAX9,0.837188289204949
DYNLT1,0.836043621432785
NSD2,0.835617219009898
CAMK4,0.835109956145774
TMEM215,0.834244299667433
NLRC3,0.834143373019896
ANKEF1,0.833826414692673
BACE2,0.832640715403028
PDE1A,0.832513057937005
PCDHA6,0.832476250295046
MARK3,0.831961219369769
GPR37,0.831905721286246
P4HA1,0.830852964742897
FAM136A,0.830585174698502
TLK2,0.830501542910125
LTBP3,0.830069571487179
G2E3,0.827334514910939
EFCC1,0.82685869636583
RPS6KA6,0.826359468315169
CLIC6,0.82594137315242
C5orf22,0.824788620603895
TMEM178B,0.82475183444381
SETD3,0.824589984743892
EGR4,0.824406895660978
ENST00000311322,0.82387638431646
IQUB,0.823609243728628
HOOK3,0.823148546667925
IKZF5,0.823052131524226
NUP205,0.822491975189839
IL17F,0.822356211786674
CEP97,0.822031521018422
MBD5,0.820783472177735
LAMA2,0.820361680922781
CDH19,0.820256954588024
ELF1,0.820220390408351
YTHDF1,0.820099997769744
TFRC,0.819956555652598
RANBP17,0.819717708403744
NUDT16,0.818267860500094
FOXJ2,0.816809554672958
NHLRC2,0.816420806084714
PARP11,0.816359500088674
TSPAN9,0.816292088321557
ADGRL3,0.816242367101364
ITGA11,0.814769408868265
DNAJA3,0.813632311977331
TET2,0.813174893426251
DNMT3A,0.812494913907347
BCORL1,0.810834638041155
TMEM170B,0.81062664768634
FGF14,0.810192273408407
IPO8,0.810144281286611
FAM76A,0.80796375189539
MOG,0.807762085781439
GLUD1,0.807586354871708
CTSO,0.807053253330543
DPP6,0.806601294835885
ATAD2B,0.806316046066962
SVIP,0.806209473073885
CHIC1,0.804402852397886
SLC38A4,0.803367477074906
GCSH,0.803021720463327
RALA,0.802928563571604
ATF6,0.802860109663871
GGACT,0.802740683411206
NTRK3,0.802427081741453
MEST,0.802162831071111
AC007192.1,0.802060418609187
ELN,0.801874166654402
ATXN7L3B,0.801421818598231
CLOCK,0.801196555287849
PAPOLA,0.80111034196
PKIA,0.800262089376912
