Gene,Score
ZNF99,0.99779493881771
ATP6V1H,0.994797265742044
ZNF117,0.993708283492071
VPS50,0.9927960468987
SMCHD1,0.990398017406942
PCDH9,0.989266409857325
DACH1,0.988330250206724
CSPP1,0.987531066322352
ZNF138,0.986936009188317
MAP3K13,0.986533218651169
NR2F1,0.98625003510693
ZNF708,0.984491678668543
DGKI,0.983608015184454
CDC27,0.983587652570613
DZIP3,0.982136222558406
SDAD1,0.981580263585174
ENST00000617676,0.981151762412952
SMAD2,0.980841897794319
USP8,0.980640251159459
N4BP2,0.979155721858763
INIP,0.978575024346269
TMEM33,0.977016067945359
MTAP,0.973716066898805
MGAT4C,0.971792403410569
GRM7,0.97154902297113
FGF14,0.971512585463644
GOLGB1,0.970480887323028
PLEKHA1,0.970218415004407
ANKRD36B,0.969554121681413
RPS6KA5,0.969040709218419
RORB,0.968153768456577
CLOCK,0.967412676983669
SLC6A15,0.967206188435188
EIF5B,0.966841449440674
FRYL,0.966550112822498
CDK6,0.96600187656999
BUD13,0.965795126217437
FLRT2,0.962802030322332
PPP1R3C,0.961747048773001
ZNF493,0.961396646059811
SMC4,0.960645414688455
ZNF107,0.960074955690369
REV3L,0.959820261989484
MAN1A2,0.959428792892198
SYNM,0.958802385309788
OTUD6B,0.958181321973833
ZNF773,0.95769772412178
SYNPO2L,0.957330309706658
OSBPL6,0.957186957254876
RCOR3,0.955031547659871
TP53BP2,0.955016530528876
PAN3,0.953417791739939
PLCB1,0.953268929850652
KLHL14,0.952625877627334
GALK2,0.951575748280418
PCNX4,0.950630898813619
PURB,0.949932998633482
MYCT1,0.949553119745443
HIPK2,0.949454094214179
CUL2,0.949444998109588
MGA,0.94850141195246
SOCS2,0.947513142639036
FGD4,0.947260644419573
DNAJC10,0.947091090386052
LNPK,0.947002515506765
PDCD10,0.946664585629276
BPTF,0.946437905913531
SYT16,0.946276362257229
HOOK3,0.945963070393912
FKBP1A,0.945768351147921
GPBP1,0.945084880053841
PUS7L,0.944952873218012
CTTNBP2,0.944726917508651
MORN2,0.944226380769309
UBE3D,0.944207315840767
TEK,0.943655230940735
NR2F2,0.942658785498751
MEIS2,0.942373024343787
WNT5A,0.942117697228026
JDP2,0.941076760861912
ACOT11,0.941027907254391
HSFY1,0.940997941944856
SLC40A1,0.940901235855769
KIF23,0.940699910180411
USF1,0.94047299852733
SPACA9,0.940134219009007
CA10,0.940103756167818
CCDC117,0.939534670771208
KCNA4,0.938375183613532
TNRC6A,0.937679039970986
GPR158,0.937622545717012
FOLH1,0.935939238712112
PRDM6,0.935856534308252
MYT1L,0.935674552007539
BRCA1,0.935254851680656
NRG1,0.934890051011416
MYH10,0.934743900275692
PEX19,0.934578155350395
RHOT1,0.934456399209956
ACTR6,0.932828155474853
ILDR2,0.932585069902446
SLC8A1,0.93227159616475
PMPCB,0.932039320423266
YWHAH,0.932010138485141
RAB3IP,0.931583921472147
MAGEB2,0.930078425310224
PICALM,0.928949367805933
RGS7BP,0.928815100519733
RSF1,0.928560227755901
ZNF676,0.92830792641097
KMT5B,0.928237902781165
EPHA7,0.928206444648768
PRKCH,0.927279806598692
INTS7,0.925466640135577
GMFB,0.925451145685435
CCNC,0.925280456557624
DFFA,0.924765699815439
ITGB6,0.924656322351058
RAP1GDS1,0.922842963582771
FRMPD3,0.922677622674977
GPR85,0.922597623526122
ERICH1,0.922579011416845
HACD1,0.921901622797146
ZBTB21,0.921798841537665
KCNQ5,0.921674799247795
CDH17,0.921549490337501
PDE5A,0.920699500304999
RBBP7,0.920353305893297
TMCO4,0.919972678740832
PKD2,0.919892458228879
PGM2L1,0.919528262622658
KLF3,0.919305112713945
DCX,0.918901423906336
DIS3L,0.917959384627217
ATP1B1,0.916824595722458
ONECUT2,0.916587731204669
FKBP4,0.916280398663452
AC090360.1,0.916190152148118
GUCY1A2,0.916149751113115
MARCHF1,0.915799941512065
MRPL42,0.915518065711572
FBXO43,0.915338245494699
CD44,0.914828977200169
NCAPG,0.914719665416501
WDR64,0.913466368336369
TBC1D32,0.913269190783307
WWC2,0.91199767925771
RBM18,0.910847073015236
PTPRD,0.910704362069802
SLC26A2,0.910484290632222
FBXL4,0.910287189441242
TMEM178B,0.910089881485304
FSBP,0.909301304518804
MEGF11,0.909264802238293
MKLN1,0.909147513454303
DZANK1,0.909123128776517
FBXO47,0.908083004234613
CPEB4,0.908067556645323
ERBB4,0.907906164025474
TSPYL5,0.907903768994839
NLGN1,0.907663741383729
ATRX,0.907595877713541
RAB4A,0.907439564388198
NELL2,0.906846056425967
CLLU1,0.906620864025037
ARL13B,0.906604273114678
CREB3L2,0.906547303108258
STK10,0.906229008296042
C4orf54,0.906164610578257
SUGT1,0.906137977178219
GPR6,0.906092734614381
ACAP2,0.905952944775518
SH3GLB1,0.90536921760067
POLR2G,0.90531221162632
NCOA3,0.905180427057759
RBM14-RBM4,0.905023640887436
POU2F1,0.904951513197745
CD47,0.904818501780067
FNDC3A,0.904306068628725
ZNF398,0.904225302447179
CREBRF,0.904023806309969
HYDIN,0.903980135370613
RADX,0.903528073193073
KIAA1841,0.903514089390626
FRMPD4,0.903273726558711
PHF20L1,0.903204842925291
PHIP,0.902463294992211
DSC3,0.902166407338613
TTC6,0.901711014683405
ZNF626,0.90163837076059
HBS1L,0.90118139741107
