Gene,Score
LCOR,0.999999178477566
LRP4,0.999993395376674
FGF9,0.999891516851085
ZNF800,0.999788630612281
MMD,0.999691996036044
PRR20B,0.999680050114948
PRR20A,0.999677111212817
PRR20C,0.99967082681943
PRR20D,0.9996704930294
PRR20E,0.999669489828677
KAT2B,0.999125531663854
STK17A,0.999076524389655
RALA,0.999017956730516
KATNBL1,0.998145114557617
SEPTIN2,0.998018559228221
AC106886.6,0.997912025852091
NRK,0.997270106956257
DOK4,0.997133359354266
TTLL1,0.996467376165205
YOD1,0.995936327295687
BACH1,0.995927198345968
BCDIN3D,0.994850589370151
GPR161,0.994064820780382
NLK,0.994024270834725
WNT9A,0.993771393402815
EFEMP1,0.993718370139113
EGR2,0.993532457141855
VEZF1,0.992766109485083
FNDC5,0.99123512931644
NPR3,0.991031167216019
ZNF827,0.990707849577365
SHROOM3,0.990221421333706
RAD54L2,0.989758010809663
ZBTB10,0.989563593628979
IGFBP5,0.989352561064226
C12orf49,0.98880693784023
HDGFL3,0.987173089471385
CAPN1,0.985871725612475
TSPAN12,0.985475622635455
TMEM260,0.985415511063746
BCL2L1,0.984983371997351
KBTBD2,0.98497463835825
HSPA4L,0.984905317879079
CORO2A,0.984474248950778
PPTC7,0.984342956617006
UBE2V1,0.984314000016245
PALM2AKAP2,0.983397482688265
ADCY7,0.981665413746608
PGR,0.981481494953833
NUCKS1,0.981233995790453
NCSTN,0.980017367424825
SPATA6,0.979072397598971
ADGRL2,0.978323079905775
NCOA1,0.975331934156851
FLRT2,0.97427532772389
ERC2,0.974034776040365
MTSS1,0.973344458019828
LAMC1,0.9720317179721
DGKB,0.970033743879064
SNX27,0.96945915566563
GCA,0.96704231653501
CBLN4,0.965422306440139
BAZ2B,0.963534398321243
BOLL,0.962219167386388
ABRAXAS2,0.962026201867695
WDFY3,0.961688005449802
BMP2,0.960625598227352
SCRG1,0.96062550819453
NCKAP1,0.960013527944676
NIPBL,0.957779782131974
DPYSL2,0.957041414658429
ADAM10,0.956720575868902
ZMYM4,0.955322649380463
RPUSD2,0.954860830952938
CDH7,0.954586860576108
RNF170,0.954271547632223
SNX16,0.953715809174719
RBBP4,0.953249844314033
NTN4,0.952289131371886
PURB,0.951483507222495
FBXO45,0.949814545587266
RNF32,0.946970447923061
ATP10B,0.945416611461495
YTHDC2,0.94538228066093
FCHO2,0.945257979059275
TFRC,0.944304569146924
TMOD2,0.943851232051286
PSRC1,0.942925918950707
NR4A3,0.942878565291402
ZNF557,0.942205236600056
MED13,0.942196215018299
ENST00000556084,0.941803497896128
ANO6,0.941464996497741
GALNT16,0.940676852797263
HRCT1,0.940569145587718
HDAC7,0.940368647206772
