Gene,Score
API5,0.999861729815225
ATP2C2,0.975505849865487
ADARB1,0.974231188038825
COL13A1,0.969723644435119
CWC25,0.956287221580845
WNK4,0.955729984246558
CCDC47,0.935387651963665
A1BG,0.921182336576439
TGIF1,0.910231321101654
ACTN2,0.905103620280919
ATXN2L,0.904973929392823
SMPD1,0.903469464087457
COPS7B,0.895489167433616
EML3,0.892768202583778
MARCHF11,0.887440798456528
ERG,0.874340968113273
ENST00000617885,0.86497774438058
SEMA6B,0.856966371282952
CCDC149,0.852126205500455
OFD1,0.845580215852889
FSTL3,0.838876336266328
FAM131A,0.830058114958226
SULT1B1,0.820047513834718
BICRA,0.813610327888221
POLR1B,0.811329158616598
STK35,0.807370544600868
CHRM1,0.80612061129632
SPNS3,0.802761850052202
