Gene,Score
SLC35A3,0.998829521241808
HOOK3,0.998749051701144
PUM2,0.998292135659279
INO80D,0.997512404333316
PLAG1,0.997449938390794
ZFPM2,0.997114172649285
MAST4,0.995577785489353
PSD3,0.992316869683154
PDS5B,0.991224240104246
EBF3,0.990460604350664
GNAQ,0.989561324999134
LRP6,0.989555957060164
TAOK1,0.989245526110939
COL12A1,0.989033724609803
ARID4B,0.989012020348022
REV3L,0.987947071856776
ATRX,0.987452000641493
NRXN1,0.987390251591914
C11orf58,0.987339663629683
PPP4R2,0.987154381280314
CALM2,0.98697254653957
ZMYM4,0.986531777671378
PPM1L,0.986098575764108
RAB11FIP2,0.985485409419735
SLC44A1,0.985283939713719
GRIN2B,0.984938027410499
TSHZ3,0.984587046716605
HMGXB4,0.984304539992539
WWC1,0.983649709093156
CUL5,0.983044780876465
KLF12,0.982782744962849
LSM14A,0.981980358112791
PRKG1,0.981383515877343
PNISR,0.98071060509014
GRM3,0.980676363778186
NEUROG2,0.980182076691023
RAB2A,0.980101116309985
KIAA2018,0.980036954314972
ZBTB37,0.979747601615617
CRISPLD1,0.97898684278651
ICK,0.978792998846992
CECR2,0.978747308212741
ACVR1,0.978590872333112
HHIP,0.978160551664958
MED14,0.977690389111446
YY1,0.977248035644889
FZD3,0.977162640827227
IER5,0.977090932990252
SLC8A1,0.976614677867604
KIF5C,0.976079593030515
STX7,0.975941485515676
NFYB,0.975426547507003
MPP6,0.97536040995332
RAB10,0.974437358906255
NR3C1,0.974139558589305
CCDC126,0.97412385149383
OTUD4,0.973978350277404
PIK3C2A,0.973814226516914
LRRC16A,0.973578475303418
ANO4,0.973418681639225
VCL,0.972496565831856
AL353698.1,0.972198676353198
SRSF11,0.971071982392024
PCDH8,0.970197008096026
FBXO33,0.969919145023115
RTN1,0.969772549009602
MARK1,0.969668561553549
LCOR,0.969362873620564
ANKS1B,0.969171740244563
MAP2,0.968089848891614
VCAM1,0.967139030601208
DAGLA,0.966864172614933
DPH6,0.966619789504688
MED13L,0.966548165869852
HMGB1,0.966226614227172
PTMS,0.965062277463019
CNOT6L,0.964556203900202
AHR,0.964375486231055
PTBP3,0.964245094568049
SLC18A2,0.963706010534863
MARCH6,0.963461445081314
ALDH1L2,0.963422841027283
PARD6B,0.963361276440734
ZBTB44,0.96312399266685
SYNCRIP,0.963101141145211
LNPEP,0.963099959437444
TRIM63,0.963090523404342
SPOCK3,0.963074586154002
MEF2C,0.963047231029511
GSK3B,0.962643313031073
PAFAH1B1,0.962637961325697
GLTSCR1L,0.962600863999873
ZNF720,0.962459415193509
ADIPOR2,0.9621737842511
MYCN,0.962028550817538
GTDC1,0.961401297772093
NBEA,0.961388155107689
PTCH1,0.960200894980825
LIPG,0.960199227061428
ATG2B,0.959590490198655
RPRD1A,0.959552663860387
SOX5,0.9592062428772
GTF2A1,0.95911543044728
NRIP1,0.958510614908294
GOLIM4,0.957843902954878
PUM1,0.956990247885488
ZC3H11A,0.956402357906107
CPEB2,0.955891572702184
NCKAP1,0.955719580220274
SMEK2,0.955579752201603
DCAF7,0.955489201754883
ELOVL2,0.955392980529837
HCFC2,0.955262425063306
PPM1A,0.955183323739018
ITGAV,0.955174543259618
ARAP2,0.954722285577304
DKK3,0.954408658764321
PHACTR2,0.95352564389847
UNC79,0.953501498707854
ELAVL4,0.953373125304336
HOXA9,0.953217053230986
APP,0.953205718864598
BDNF,0.953183858675029
ZNF85,0.953093194338692
CUX2,0.952978756250053
C10orf118,0.952877324619909
STK40,0.95248727334003
IREB2,0.952282581386399
ULBP1,0.951610407845767
NR2F2,0.951517366310876
FOXO1,0.950877191757432
NLGN1,0.950852397805772
BTNL9,0.95036887529187
ACVR2B,0.94987687446121
RBBP7,0.949116792479564
PDE5A,0.94864398198156
