Gene,Score
ZNF141,0.999694672598168
MTAP,0.998733922701531
RGSL1,0.998113010223088
ENST00000556084,0.998045373467173
UGP2,0.997053841660841
SPATA7,0.996933229538016
KLHL2,0.996915708319581
ZDHHC20,0.996311292606017
METTL14,0.995652360870155
PPP1R21,0.995160093812697
MYO18A,0.994871668030446
NT5C3A,0.992326730750838
ABITRAM,0.990972397862742
KIF23,0.990769127699785
RSRP1,0.989908993176067
NASP,0.989888070734069
SLC38A1,0.989480005599085
ERVV-1,0.988646288566646
FLT3,0.988057692150795
MIER3,0.987210487596609
GPR27,0.986753008740214
ERVV-2,0.986410873056439
UBR5,0.986345392736453
REV3L,0.986259768711988
LRP6,0.98593196082757
ATG4A,0.985770163874849
RAB2A,0.9841759744934
VPS50,0.98411756534819
PSTK,0.983920161929036
RBM39,0.983481608616242
CDH2,0.981263030865606
SNX4,0.980542654326926
MROH7,0.9803643712441
ATRX,0.980344006003958
HSBP1L1,0.979838041480744
GOLGB1,0.979776420843494
CLSTN2,0.978845492469925
ZFP36L1,0.978532476647997
RNF31,0.978186543107939
DNM3,0.977473346922035
SLC8A1,0.977455479970617
FAM169A,0.976994549558615
HMGXB4,0.97604735484355
SSX2IP,0.975753086168077
ENST00000543628,0.975601096319858
ANKRD11,0.974846648275201
GMCL1,0.97384952104415
SLC5A12,0.973848862598639
ZNF397,0.973733790988197
TRPA1,0.973668831316526
CRYZL1,0.973297637233009
MAS1,0.97319080264838
SUPT20H,0.972256135629389
GRIK2,0.972168480387519
EPHB1,0.972110396807879
DNAJC7,0.971247641250728
KIAA1671,0.971006664191678
PDCD5,0.969863101406767
SDAD1,0.969506289478698
UTP25,0.968847619282049
CACNA2D2,0.968558231081319
EZH2,0.96732996214844
SNX27,0.96717521097414
RIT2,0.966410036863478
FAM135A,0.965928448201037
NBN,0.965536503707039
AL121594.1,0.963477035456612
TMEM95,0.963367558588995
STK35,0.962797520270131
C11orf58,0.962303666308767
PARG,0.962082682740951
PHF3,0.960671994218883
POLE,0.960570331920488
NDC1,0.960038066646852
AL139353.1,0.959610600385778
CRNKL1,0.959587436011249
PMFBP1,0.959240814482281
SLF2,0.959009643310554
PSMC6,0.958562953857383
PIK3AP1,0.958039997686286
BLM,0.957728138523022
KIDINS220,0.957633437590708
TECTB,0.956758856311079
RAP2A,0.956392380448191
PRKD1,0.955594287760089
RPF2,0.955376523807068
ENST00000610283,0.955237288426957
TRIQK,0.955154305888599
NR3C1,0.954590180370019
PLEKHH1,0.954204440787116
ANKS1B,0.953835340830316
DMTF1,0.952514686655511
MRPS22,0.952484800467751
SMARCAD1,0.951578083900565
TAB3,0.950828253680069
RAD51D,0.950444712727524
SCN1B,0.950357950332451
GPR19,0.950198784325668
ZNF543,0.948233513741201
RTTN,0.947717413180771
KCTD19,0.947656931454937
NRIP1,0.946569087862548
CCDC191,0.946407599057939
USP46,0.946360782356892
CDH4,0.946167570693722
GPR180,0.945350503955318
CDK2AP1,0.945253596113603
PARP6,0.944573553881088
EPDR1,0.944477669272871
TK2,0.944418357169281
UTRN,0.943650627647206
CNOT4,0.943607169798902
ITPRID1,0.943026974370545
AL135905.2,0.942788021239756
FBXW11,0.942287634359791
ILKAP,0.942143597206755
PCDHA6,0.942087028274041
DIS3L,0.941709188094347
SHPRH,0.941670962941155
ENST00000374710,0.940680322887578
AL023806.3,0.940018232733685
PTPN12,0.939892016377571
CUZD1,0.939780752208895
SMAD2,0.937316930835385
SMAGP,0.937294310111288
ACOT11,0.937137110037841
