Gene,Score
SKIL,0.999906051397472
TBPL1,0.999758623565148
NEGR1,0.999744944054494
MTDH,0.999735154424106
BCL6,0.999689804828814
GALNT7,0.999687482000504
PRDM1,0.999669110534341
EFNA3,0.999664301787553
SCAF4,0.999639403074855
TLE1,0.999515295795327
NAV3,0.999512503068025
KIAA1549,0.999497239668654
PPP1R18,0.999472999185138
SYNGR3,0.999461491560467
TTLL7,0.999413180282773
PDE7A,0.99940594622869
LHX8,0.999387925140269
SPOCK3,0.999374204837735
NAALADL2,0.999345558394986
PPP3CB,0.999312091001048
ENST00000558084,0.999305956814353
MBNL1,0.999299138873237
ZNF773,0.999228111783675
DMD,0.999044510138849
KLF10,0.99896361852817
BNIP3L,0.998940018117115
XPO1,0.998837918958141
MMP16,0.99880258484301
NT5E,0.998785100637043
CADM2,0.998763460331243
DESI2,0.998724814640285
DGKH,0.998652380116826
GALNT1,0.998576585747194
STOX2,0.998545124278273
MIER3,0.998444733103387
CCNE2,0.998416011608813
ENST00000535924,0.998358243950265
R3HDM1,0.998281070001917
SATB1,0.998256964600233
LIN28B,0.998163080370418
C9orf72,0.998123353272517
UBE2J1,0.998105196304315
MELK,0.998005028864154
DNAJC13,0.997994544599013
RNF220,0.997795545688029
SGCB,0.997718395274233
ADAM19,0.997445015708131
SH3KBP1,0.997383049972136
TASP1,0.997151207300934
ST8SIA4,0.997150793855738
NEFL,0.997150252500954
CCNT2,0.997133860609468
XPR1,0.997092684229236
YPEL2,0.996987095309174
ZNF644,0.996820618702089
E2F7,0.996817011915266
RAB38,0.996660378613574
ABHD13,0.996627112169738
TNRC6A,0.996504363116757
GMNC,0.996489651815482
KLHL28,0.996241891566646
ATL2,0.996012801944273
LHX9,0.995858040790597
SOCS6,0.995734128370859
CECR2,0.99554430995694
NCK2,0.995356384200475
NUS1,0.995290422295734
AMOTL2,0.995288035461413
SCN2A,0.995163255130241
TNKS2,0.995004577245054
STK38L,0.994704722963189
VIM,0.994636088918008
RHEBL1,0.994316505637961
CAMK4,0.994230693340488
