Gene,Score
PURA,0.999359727563154
RSBN1,0.998436504849785
FLRT2,0.995438583220273
CCDC62,0.993342319041816
SLC30A1,0.989817386151155
HIF1A,0.987769969627399
ARHGEF11,0.984617228924551
ANKIB1,0.982424374310732
PPP1CB,0.979051022153158
SYT14,0.9776395146686
ARPP21,0.970828953736084
MGAT4C,0.968953758085818
PAPPA,0.968753132548334
FBXO28,0.96833257083543
DYRK2,0.9681498397794
MAPK1IP1L,0.966312062290652
ENST00000268035,0.964346498833504
SPRY4,0.964121387130108
NFATC2,0.963936842711292
DCUN1D1,0.962128064153412
DCAF4L1,0.960433172439716
NCR3LG1,0.959174025529629
HECW2,0.958835921357483
CEP78,0.957222467354901
GXYLT1,0.955067863586714
INTS2,0.951780531037762
SLN,0.951297172954037
MEIS2,0.949334227800239
LHX6,0.948522432038087
TEX15,0.9476373244451
USP53,0.947385414056645
PCCB,0.947039008521225
FXR1,0.946730596759726
SPRED1,0.945613086946991
USP7,0.945572766181777
ZNF148,0.944592569127087
CCL28,0.944388449804331
TCAF1,0.943059883774439
CDH20,0.942493335761131
PRTG,0.942306011284784
CPEB4,0.941610225088498
RASA1,0.941446534950576
TENM1,0.940786554530509
ADAMTSL3,0.939344162518538
PPIP5K2,0.939275866726566
ABCA1,0.938421976459057
VEZF1,0.938230735267453
SIM1,0.936982730319573
MIA3,0.936855104410057
NKTR,0.93671329910916
RLIM,0.935770279560548
RGS18,0.93301296308845
NUBPL,0.932010909996228
ITPR2,0.931660377571056
BMT2,0.93149000714835
CT47A8,0.93116263482536
CT47A10,0.931050920895431
CT47A2,0.931022975216725
CT47A3,0.930771154659187
CT47A6,0.930687090724756
CT47A9,0.930659055666919
RAB21,0.930053511737045
CFAP69,0.929042503655031
PIK3C2A,0.927935875603663
HOOK3,0.926609808633508
PDZRN3,0.925669215014558
FGFR1OP,0.925577243635366
MCTP2,0.925568311350873
REV3L,0.924492710554623
SMAD2,0.923643029318083
BASP1,0.923567761989385
MON2,0.922893299686193
ZNF37A,0.921499959507234
RNF138,0.920854598061027
NR1D2,0.91973895154437
DDX3X,0.919342941464788
EBF1,0.919007487055983
ZNF606,0.918869421055285
CDY1,0.918481905657044
ACVR2A,0.917160993024845
TPM4,0.917079316810167
CDY1B,0.916530950089328
ELAVL2,0.916461263281108
ENAH,0.915709257523799
GGCT,0.91537415601601
REST,0.914382157419951
RALA,0.912883345254533
C15orf61,0.912073556987514
CTBS,0.912064566834035
APPBP2,0.91109670272954
DNAJB14,0.91064031013998
PTER,0.910361172657692
CT47A11,0.909278166655615
PAQR3,0.908966761167516
CT47A1,0.908522306353053
ASXL3,0.908278382988091
UBL3,0.90707352584691
RMC1,0.906590645673632
TNPO1,0.906538128744825
ZFHX3,0.906452356478606
RFK,0.904768837936625
MATR3,0.904619582706121
ENST00000544303,0.904286748338353
ZNF644,0.903903005633193
KHDRBS1,0.903461768873213
ENST00000426790,0.903183643893166
GABRA2,0.90309058654451
STEAP2,0.90306193841104
CPEB2,0.902397332257306
IL36G,0.902117178859585
HS6ST3,0.901830931779576
NCOA2,0.901673035886488
QKI,0.899550670949388
CDK8,0.899432129260608
SHANK2,0.897686219607381
DYNLT3,0.897129102852857
TMED3,0.8969178506101
ENST00000568107,0.896787153229631
FAM210A,0.896548438535352
SPTY2D1,0.896368285154667
