Gene,Score
CREB1,0.999997719263429
FLRT2,0.999972814724885
SMAD2,0.999970496556035
MGAT4C,0.999966158857677
SRSF1,0.999938045464367
PCDH9,0.999936724411347
SLITRK5,0.999934942300367
GNAI3,0.999932858079891
RC3H2,0.999891515153774
KLHL15,0.999676905984523
LOX,0.999673796041558
HOOK3,0.999595647381144
KAT6B,0.999566623257996
TMEM65,0.999559602000183
DCUN1D1,0.999537321575605
SALL1,0.999514978774622
AKAP6,0.999512677515886
EBF3,0.999396225391196
INTS6,0.999213530941345
MYEF2,0.999181667576195
BEND2,0.999144145459085
CADM2,0.999045652705079
WDR26,0.999032952042994
AKIRIN1,0.998917644569971
TMF1,0.998910537728871
ZNF92,0.998880648131269
BRWD3,0.998759671125468
ZMYND11,0.998681792862706
CEP170,0.998660466317752
EPHA3,0.998639427658091
SLC30A7,0.998627675600428
LHX9,0.998550135903814
PEX13,0.998493890714125
EIF4E3,0.998490919445326
STOX2,0.998431511649534
PLEKHA3,0.998392574718681
CAMK4,0.998286641255226
KLF3,0.998271684842805
RIF1,0.99807020393712
HIPK3,0.998047797396889
AGO2,0.998005638265282
ARHGAP5,0.997952784149688
ARIH1,0.99790932360531
INO80D,0.997889566311076
CREBRF,0.99787754261964
KAT6A,0.997819032578699
SLC8A1,0.997694475748438
PURA,0.997689558281426
LPP,0.997660344057523
TMEM106B,0.997568563641402
FAM241A,0.997549049278337
NBPF9,0.997451748623174
TRHDE,0.997415385902464
CD47,0.99739696393033
NCKAP1,0.99729771702115
MEF2C,0.997184679461376
KBTBD8,0.997121301872291
NAA30,0.997104342269832
NBPF20,0.997098082856407
SLC30A1,0.997079008942727
KCNG4,0.997076825752802
RABGAP1L,0.997042583453646
ZNF148,0.997026854117247
CFAP44,0.997015911920567
NBPF15,0.99700476139773
MAP3K2,0.996902811797997
UBE2W,0.996844910446289
USF3,0.996816642403367
HEATR5A,0.996790358675671
SLC7A11,0.996766258819224
ENST00000558190,0.99675317831029
STX7,0.996638822712394
NUFIP2,0.996629799163516
CPEB2,0.99661816216229
AP5M1,0.996613833382579
HDGFL3,0.996599912756514
CCDC88A,0.996456482447818
RPS6KA6,0.996389694852314
SYT14,0.996332205617411
TMPO,0.996325394314412
ABI2,0.996318046208775
CDKL5,0.996305381567777
ELF2,0.996288804266738
SPIN1,0.996254810779141
NBPF12,0.996214799852617
ENST00000309495,0.996207232438074
TP53INP1,0.996202019207202
GRIA2,0.996195178996286
USP15,0.996151854993647
TRAM1,0.996119290218275
TMEM168,0.996095892002051
ZNF367,0.995945301997734
PHC3,0.995867917851377
CNKSR3,0.995824399711573
ALG10B,0.995794252850177
AP1G1,0.995766531340494
PPP3CA,0.995728238198133
SMIM13,0.995716106517
NAV3,0.995714988738945
TRIM24,0.995711124129433
NUTM2D,0.995630341772545
RUNDC3B,0.995618361597785
ACTR3C,0.995534901797238
CACNB4,0.995531404272956
GOPC,0.995512255600041
NEGR1,0.995507915384531
RNF170,0.995445639581772
TMEM132B,0.995436308367266
PLCL1,0.995411908224733
RPGRIP1L,0.9954088061133
ELOVL4,0.995365994560021
NPAS3,0.995359173031918
TAOK1,0.995339895841246
ZNF462,0.995330648483466
RDX,0.995275926504068
ZNF207,0.995248582965881
RGS21,0.995231036803323
DMRTA1,0.995198475850835
RPS6KA5,0.995157178451788
RORA,0.995010817041545
NBPF10,0.99500385187339
RFX3,0.994987467777633
ZBED6CL,0.994977706652697
VWC2,0.99484660550236
LYST,0.994844079605534
ABHD13,0.99484162224473
CAV2,0.994838052985222
ZNF292,0.994829831841412
PDK1,0.994829371559331
HNRNPUL2,0.994687524880706
LSAMP,0.994627055381472
EXOC5,0.994590972731599
MRTFB,0.994576064380378
