Gene,Score
MGAT4C,0.999422719430692
MBNL2,0.999413557500311
SIX4,0.999252748571392
ZNF708,0.999250435722888
ZNF99,0.999033669723679
AQP4,0.998679939774496
ZNF273,0.998614399309887
RSPO3,0.998347102470555
NSA2,0.996710750771478
ZNF138,0.995776745909962
PCDH9,0.994539292301271
ZNF117,0.994450966232551
CREB1,0.994391084413152
SERTAD2,0.991499520933998
PHC3,0.989420275252855
PUM1,0.989207477990745
TIMP3,0.989045249412255
DCUN1D1,0.988910406695464
TFAM,0.988652036435615
HMGA2,0.988066637125229
SLITRK5,0.987194111753323
ZNF493,0.986777397396684
LOX,0.98565342387137
ZNF800,0.985023345404807
SLC8A1,0.984438772599944
SCAI,0.984264304446369
SYT16,0.982466028107671
MDGA2,0.981516291748658
PLEKHA3,0.981301796745885
FLRT2,0.981042575955225
IBTK,0.98073458888711
HTR1F,0.97875876716408
CBWD1,0.97735512465536
EPB41L3,0.976366562456035
TRAF3,0.976299776044837
FRS2,0.975394443106415
CNST,0.974706745346314
WIF1,0.973890611447333
TMF1,0.973824658678458
SAP18,0.972311592700866
SLC9C1,0.972115188213005
BUB3,0.971995557528465
PGRMC2,0.971598012657935
TMEM237,0.970428817722271
TENM1,0.970097422809298
UBE2K,0.969614771856912
ETNK1,0.96939381055778
ZNF367,0.969359625062481
ETV1,0.968725292942209
MZT1,0.968543357438347
FJX1,0.968424314292325
EPHA3,0.968333959569285
MBNL1,0.96802349346369
ZNF257,0.967151730217106
MRPL42,0.966889111485391
FAM110C,0.966558921079043
EIF4E,0.966371233223648
RAB10,0.962357499174498
RABGAP1L,0.962216818432812
CSMD3,0.96220083927768
ZNF92,0.962095064154721
NOVA1,0.962054816555724
NBPF12,0.96198425436896
NDUFA5,0.961403014954323
ZNF292,0.960871032803367
JAZF1,0.96072040210941
ZNF91,0.960526792928306
SMAD2,0.959323033663284
RFX3,0.959009444009143
FGF12,0.958545873172851
NBPF9,0.958482965884712
PPP2R5E,0.957761293751345
NR3C2,0.9571498584111
ENST00000456098,0.957086745841607
ATRN,0.956908388978514
ZNF107,0.956453437798312
NBPF15,0.956165684334102
BMPR1A,0.955820768565541
CBWD5,0.955038853072071
ABI2,0.95486596812723
FCHO2,0.95467342328048
SENP6,0.954569960109109
ZBTB37,0.954546155927598
NAP1L1,0.954457431249033
SEPTIN3,0.954416470227714
PCDH10,0.953415574756386
SLC7A11,0.953097903034023
CCDC186,0.952623951406986
VANGL2,0.951366181444819
TNRC6A,0.950999474380004
POGLUT3,0.950646018051361
NCAM2,0.949907574074806
TMEM106B,0.949833652445931
PARP8,0.949788559275957
PAPPA,0.948983866199452
BOLL,0.948419223921944
RBM18,0.94794914064099
HP1BP3,0.947944121773298
ENST00000282030,0.947864122792162
MOB4,0.947216198071719
TCF4,0.946983248919594
CPEB2,0.946447664820539
TDRD6,0.946348510910493
LANCL3,0.946330375257288
RIF1,0.946009546300196
ADAM22,0.945949972770871
ENST00000282478,0.945903353383209
DTWD1,0.945760773091229
ZNF676,0.944234755791533
TSFM,0.944081960959323
MYSM1,0.943489162356703
HOOK3,0.943282941449008
BEND4,0.943195313239258
GAREM1,0.943129626406885
CADM2,0.94312062622529
ZNF100,0.942524418018611
ZNF536,0.942218694335744
UBE2H,0.942140038264924
PDGFC,0.941525235582777
TSHZ3,0.941309986459432
SEMA3A,0.941215122026935
SGCD,0.941085388858909
TMEM50A,0.94044238795222
PGM2L1,0.940193748274502
RDX,0.939995520335886
GCNT1,0.939991459345026
ZNF43,0.939862984732809
ACSS3,0.939815318549698
ODR4,0.939773584147259
PGAP1,0.938405313301244
HACD1,0.938311968584832
GNAI3,0.938254949131846
PJA2,0.937872689607758
SESTD1,0.937753888927406
HNRNPLL,0.937747222434789
ZNF618,0.93709009705691
CFAP44,0.936491125347846
ADGRL3,0.936301392454998
NCKAP1,0.935784161153551
SLF1,0.935571185211499
ARHGAP5,0.935315289562918
BMPR2,0.935246018136687
SHC3,0.935146559705033
BPTF,0.935072141731346
TIGD1,0.934188360559708
YIPF4,0.933626124790655
SAMD12,0.9333942037314
RBM46,0.933284072743983
ADAMTS19,0.933246871880682
ZFP69B,0.932921792613352
MAGED1,0.932203526563762
CAGE1,0.932163283664356
