Gene,Score
MAP3K8,0.996342566173858
BCAM,0.996100242617216
RPL27A,0.989155561182433
LARGE1,0.979925457895347
RPGRIP1L,0.976193760863151
PDZRN4,0.97237462743012
MICU1,0.969202338513702
LIN54,0.968836840991393
PCID2,0.961674356201357
PPP2R2D,0.960984665175459
FLNA,0.955076703040745
YJEFN3,0.953227234207102
ZNF773,0.951498296378186
GRM1,0.951387896219848
EXOC3,0.949754170612222
TRIM44,0.948198672174976
KDM4D,0.947305892262284
LCLAT1,0.94290249153069
LOX,0.942310206115767
TRAM1,0.940183807281446
HNRNPM,0.938362239271612
APLP1,0.937857180748367
SNX7,0.937439239844383
NPR3,0.926318859667348
MPST,0.925682829587245
WNT7B,0.923978787390851
ACAA2,0.922456523406841
KLRD1,0.921856924349108
TAF6L,0.920893498184931
SAXO1,0.920401745572321
Z83844.1,0.91993459797012
ATXN2L,0.918185683416833
PRPS1,0.915292273041812
C2orf42,0.912569988536146
ZSCAN12,0.910930208892939
ABI2,0.909829923703399
SPA17,0.907217828295956
PIAS1,0.903934952172058
GNAI2,0.903720604512457
BRD4,0.903112963894625
PAK3,0.902856823157183
IGFL3,0.902704875809825
PGAP1,0.902269594949676
MLF2,0.902240698068633
SLC26A9,0.900360141164203
DDX60L,0.899386789924326
ZNF280D,0.898064452378776
ADAMTS17,0.897735863738838
SEPTIN4,0.896647627850866
GATA6,0.893487189703866
APC,0.893135062879345
CD302,0.892643421791302
ATP6V0D1,0.892141309177445
TTLL2,0.888392437490789
DPEP2NB,0.888031548682337
BTAF1,0.881339048997438
GDPGP1,0.880714491429032
ZNF212,0.880304123427331
NYNRIN,0.879826459711499
SEMA6A,0.879450856658894
NSA2,0.878592233718879
IL20,0.876111860441492
PLA2G2C,0.875275934930657
RBM41,0.875131043115728
HCK,0.872230149904626
ENST00000558190,0.87158602402796
CREB3L2,0.869401037340553
DDHD1,0.868618400864789
EIF4E,0.86822125554797
NOP2,0.86326041473015
ANK2,0.862882886258387
PROP1,0.862447132662957
INTS6,0.862281410571682
ARMC1,0.859141155848662
CALCOCO1,0.856782017272199
EFHD1,0.856726950931797
HGF,0.856430907975319
FERMT1,0.85573561616299
ACVR2A,0.855575397610777
FKBP10,0.85411952166412
ALPK1,0.85405030847238
LIN7C,0.853518627684936
GAS2,0.851209513173388
FKBP8,0.848697446951537
CNIH2,0.846136834317086
MS4A14,0.844653349414061
BPIFB6,0.844138432973242
CYP26C1,0.843691490057378
ONECUT2,0.840897433228754
ITGB2,0.839053329900317
MMAB,0.838661420064916
GRIN2B,0.836057107345136
ABCC8,0.83605237860519
SAMD7,0.83572414610391
ISYNA1,0.834843884227499
HDAC9,0.833166278234175
IL1RL2,0.832214504475918
GNA14,0.830049387593176
SIGLEC12,0.82975860172759
ZNF426,0.828321502005345
SLC25A23,0.825993745338409
FGF14,0.825928348774782
RPS6KB1,0.825021734988523
STARD13,0.824867615010832
BCO1,0.824429222716813
TMEM95,0.823388992586548
ZNF706,0.82070313872946
XK,0.818308644263128
ADAM22,0.817990165273531
NCAM1,0.816934838753297
ZNF556,0.816527104485733
YME1L1,0.816377456280709
MSH5,0.816038673229509
NHLH1,0.814245933194118
RPP25L,0.814097326690833
KSR2,0.813818451070875
ADAMTS12,0.813063245679911
ZNF585B,0.812989397237537
C10orf67,0.812958628654968
UNC13A,0.811434176106392
ATN1,0.810528236047398
HYDIN,0.808637342451748
VWA3B,0.807141647592659
PRR3,0.806615875800086
PACSIN2,0.805979742414184
RGMA,0.805493989598449
KRT39,0.803994320545987
TUFM,0.803923787471335
PARP6,0.802972317940083
BAAT,0.801478282218137
SIK3,0.801102753202523
OSR2,0.800334962888396
