Gene,Score
MUC5AC,0.999879571814073
RAD23B,0.996640332411227
TMEM212,0.99638657974811
GPR63,0.989438136526969
LACC1,0.98746461906101
SEH1L,0.987033091169292
MAPK11,0.984063777675107
SLC26A7,0.982012193763828
MEX3B,0.981853062805493
SCRIB,0.980572481050371
LMLN,0.978206030428893
TMEM263,0.975226497437147
RNF115,0.96975918131446
ENST00000615798,0.968876664465436
AMIGO2,0.964004104118196
VLDLR,0.963924282178744
SOX18,0.962098504559726
ZIC1,0.961944295241454
EPHA4,0.959440990458866
ERVFRD-1,0.958809442345653
SLC25A23,0.956405773542352
CORO2A,0.950466814136242
OTULIN,0.950444771208316
MOBP,0.950299761479753
GORASP2,0.948913280855722
TTLL1,0.948789899197124
MBNL2,0.948261576518887
CSNK1A1L,0.947090847015273
LGR6,0.946314470231024
SLC35A4,0.945943919871654
ENST00000422223,0.943781302620238
TLK1,0.943149516286029
MANEAL,0.943015146844746
AC134669.1,0.940208488815872
JPH1,0.940154371233744
TAF5,0.93982794203049
HEXA,0.939600184711938
DTX4,0.938128712881453
PCNX1,0.937072238024895
ZNF519,0.936164401958891
AC005833.1,0.935995412407621
HMGN1,0.935040475864016
LUZP2,0.933533651755109
ANKRD36C,0.932534920286875
HNRNPUL2,0.923612064077692
ARID4A,0.923002465007115
SMCHD1,0.921380536059936
MARCKS,0.921087811553274
EDARADD,0.920011649546355
EIF2AK2,0.919996771849033
PCDH9,0.919594942806582
ERBB2,0.917663626055131
HS1BP3,0.916036588826478
ITPR2,0.916021410335515
CWH43,0.91598402693846
NRIP1,0.914536822545394
KCNMA1,0.914304873918604
CD84,0.913765719913044
CMSS1,0.911336424342988
RHOBTB1,0.911089516545816
ENST00000309893,0.909841022408466
TRIM52,0.908821741423911
NLK,0.908747261715444
MRRF,0.907936402168355
HDAC8,0.905744100244047
CDH19,0.905447849657994
KAT2B,0.905253693671609
MGAM,0.904176208657615
KLHL31,0.901342419843847
ZNF764,0.899724981523808
BRD8,0.897677442058679
SLC8A1,0.897506483089512
METTL8,0.896921042171531
SYNPR,0.896186480097639
ZEB1,0.895970871935702
ADAM11,0.895694192480371
EFCAB14,0.895276780614505
RSF1,0.894144819023467
ERVV-2,0.894088545861061
SMAD2,0.893961178712499
ENST00000265023,0.893442821746042
ZSCAN30,0.893362835808199
TNIP3,0.893236154051607
DTNA,0.890684713008244
ASH2L,0.889278620226204
CYP2R1,0.889038906328737
P3H1,0.887326109883828
OMD,0.886174268482853
MPHOSPH9,0.88605843295582
DDX17,0.88520061831619
NFAT5,0.884940809895741
RBM12B,0.883792403329073
CACTIN,0.883436818081489
FLRT2,0.881495103157981
F3,0.881143733899497
RALGPS2,0.880754285348429
ARPC5,0.880035753265083
DUSP15,0.878141543384304
TOGARAM1,0.877536215370802
LRRC1,0.877499625094352
ATRX,0.8749337702556
SEPTIN3,0.874123196760137
NEPRO,0.873942349412307
NEK5,0.873051779641189
TUBG1,0.872589922812839
C10orf67,0.87191322785736
NEDD9,0.871641824077859
HSPA4L,0.87144844705351
CAPRIN2,0.871139099861512
BRINP1,0.870931720830535
FAM78A,0.870250874435539
BZW1,0.868852233234809
PRKCA,0.867349972823597
ARFRP1,0.867313136195058
LYST,0.866991228429054
MTARC1,0.866629856496797
RAB28,0.86630605989675
OR2H1,0.865853687546547
SMTN,0.864575117290236
ZFHX2,0.862493245172986
LMCD1,0.861502606318087
C8orf89,0.859329311008245
ZRANB2,0.858353640390104
BICRAL,0.857632434098716
CCDC25,0.856600560886629
CYB5D2,0.856113999124196
CBLIF,0.853046880501311
PLXDC1,0.853043213004609
TMEM115,0.852584277038861
ARFGEF2,0.85157764485537
KCNIP1,0.85091129359433
PCYOX1,0.849306485683139
SDHC,0.849276883368653
NDUFAF7,0.848889204962156
DIP2B,0.848451207123012
POU2F2,0.847702765783138
SNAP91,0.847336546205167
PANK3,0.847062030771988
PGM3,0.846811939994321
PDZD8,0.845209363734036
FNTA,0.844721026386261
ZFP90,0.844546830084388
PTCH2,0.841702111867017
TFAM,0.841694104571821
CABYR,0.841590714905558
DMRT2,0.841483942893553
