Gene,Score
SGMS1,0.999866732120451
CASC1,0.999044060657916
RAB21,0.998562528131843
RBIS,0.998417549434367
CEP350,0.998349714510503
PLEKHA8,0.998307718713507
TMTC2,0.998032513365845
C10orf67,0.99749957095045
PBX1,0.996113071559597
PLPPR4,0.994701422491571
SH3RF2,0.99464565464873
AKAP5,0.992749618894955
GPR85,0.992411665958732
FAM160B1,0.992069748098853
LCA5,0.991838348009083
CCNJ,0.991816927144142
SMIM17,0.989601739565334
OLIG2,0.988867553828057
SPARC,0.987489338152382
LGALSL,0.987475008510402
VLDLR,0.986305864480411
MSL3,0.984789608419459
ELOF1,0.984385626207045
SQLE,0.98366996465507
KIAA0513,0.98350669572172
MAP4K4,0.983506180199205
VCAN,0.983452920704354
ENST00000378688,0.983373902214544
KIAA1217,0.983311826051416
ERCC6,0.982807685106065
GRIN2A,0.982200803670585
RNF138,0.982169291183666
EBF2,0.981856049089017
CACNA1I,0.981627916780433
PCDHA10,0.981550552265328
NFIA,0.980607587516002
PRPF4B,0.979130700424142
SKP2,0.979127015860026
AKAP7,0.978549657361436
YY1,0.978516096311462
PIP4K2A,0.978315509095752
FEM1B,0.978005643447512
ITGB8,0.975400178889232
HORMAD2,0.974891538767827
ARMC8,0.974013001333177
PTEN,0.973713908325921
PSMA8,0.972378389336684
ZRANB2,0.970491413575359
CYSLTR1,0.969558378095385
UBQLN2,0.969158009528964
ANKRD44,0.968505110373196
MTMR9,0.967959294800321
RBFOX1,0.966710577328952
DELE1,0.966535283712106
ST6GALNAC3,0.964842634913082
INA,0.964067786325246
MPC2,0.963787281531127
COMMD10,0.963751099206562
KCTD6,0.959908346479196
DDX53,0.959007063624386
JAZF1,0.958883141625657
TEX33,0.958796347431788
NUDCD1,0.958775233040616
RFX3,0.958324671073401
TCF24,0.956675565906174
AGO1,0.956272670230994
SLC25A36,0.956066873167148
VSNL1,0.954523494564416
EIF4A2,0.953548175428669
LRIT1,0.951410218089186
ACVR2B,0.950518016741871
RDX,0.950309634865877
TANC2,0.949790828409506
SENP5,0.949161711308929
ZBTB41,0.946802636762047
NDUFS1,0.946281876126226
ATP6V1C2,0.94522805847947
PPP4R2,0.944720665544893
DPYSL5,0.944496059064672
HOOK1,0.942974013420668
ADGRV1,0.94248955327361
YWHAH,0.942287616466528
BICD1,0.941103713498521
GEMIN6,0.940420587595827
SLIT2,0.940383386645004
GINS3,0.939976928150413
KATNA1,0.939710180156097
SLC35E3,0.939049655421494
VEGFA,0.938177267521572
BOD1L1,0.938172670759904
HTATIP2,0.937875993981396
BRD8,0.93720703308182
KBTBD8,0.937130552618381
WDR63,0.937008054774848
BMP3,0.936574213186943
FAM120A,0.935109559804372
STMN2,0.934892050294791
PLCE1,0.933140851340477
SIRPA,0.932320050363501
INAVA,0.931561155120507
CCDC80,0.93045543081192
ZFP64,0.928897252574815
HEATR5A,0.927514071685249
NR4A3,0.926586707019348
C9orf72,0.926423009461841
GPX2,0.924504216534764
TENT5A,0.921787475862593
PSMD13,0.92115509575942
HAS3,0.921036811645921
RELCH,0.920767972259493
FLRT2,0.919228560264023
FRMD3,0.917835269270986
JAKMIP1,0.915356840630138
GRIP1,0.91430367294957
GABRB2,0.911670021361608
KPNA1,0.91123286927508
ENST00000558190,0.910482518384928
HBP1,0.909980896934964
IDH1,0.9085179529807
SLC35G2,0.907933059298079
SLC49A4,0.907866667188715
USP9X,0.907810021755162
RAD51AP1,0.90771526596784
NEXMIF,0.907528940900747
IL5RA,0.9051763313864
CSRNP2,0.904810388581303
FMR1,0.904518290661378
CHL1,0.901046105124988
COL3A1,0.900326891386629
ITGAV,0.90017278067741
