Gene,Score
GLT6D1,0.997413789716111
ABCA6,0.995252234087321
MYO6,0.928520533022675
MED26,0.92720125209344
UGT2A1,0.913792683015269
ZNF384,0.912954584683885
CCL8,0.91263321199355
EML3,0.892742338860271
TRIO,0.874967608037665
PRKX,0.874870982661232
ST6GALNAC4,0.866105783270983
H2BU1,0.864364142301578
FBRS,0.862808713531578
RAB40C,0.862157309957744
AVIL,0.856763700944738
ARSG,0.853875504705436
MYT1L,0.846068921802587
SLC30A10,0.843754023428461
FAM153CP,0.837780053383288
APCDD1,0.832026970954764
IGSF22,0.830378865621533
CFAP77,0.829972367982138
GNPTG,0.829236904066425
TSPAN7,0.827887302234022
SNX17,0.818949900087275
C1QTNF4,0.817032190439887
IL2RA,0.810032760562494
SLC12A1,0.805659856565683
