Gene,Score
API5,0.999834198651878
COL13A1,0.965962159501826
ATP2C2,0.961484757814312
WNK4,0.960344340494317
CWC25,0.943229728968055
MLYCD,0.943093512792913
ADARB1,0.934164522152786
CCDC47,0.929079452689891
A1BG,0.927290662207937
TGIF1,0.906706315056916
SMPD1,0.899214350929915
ACTN2,0.897773050366523
COPS7B,0.895489167433616
MARCHF11,0.889477190505597
EML3,0.883665525642155
CCDC149,0.877609275855951
ENST00000617885,0.868935360768279
ERG,0.867480903268739
OFD1,0.845580215852889
SEMA6B,0.837659906804187
FSTL3,0.834006108598426
FAM131A,0.82731632963688
SULT1B1,0.820047513834718
CHRM1,0.819844907917702
BICRA,0.812675489246417
STX16-NPEPL1,0.808261052215684
POLR1B,0.804712969147957
ATXN2L,0.801854595020275
