Gene,Score
MGAT4C,0.999921315856748
CREB1,0.999721676141452
SLITRK5,0.999064958331061
SMAD2,0.999051694227728
FLRT2,0.998773041242669
TOP2B,0.998744780563939
SRSF1,0.998563888178716
ZNF92,0.998295610639994
SCAI,0.998104966562831
CACNB4,0.998020194887323
PCDH17,0.997796874207152
CD47,0.99756607550579
INTS6,0.997441975643764
ZNF207,0.997083306153597
GNAI3,0.997034940608085
SMIM13,0.996476424110409
CADM2,0.996240366802583
PARP8,0.996034320831928
UBE2J1,0.995721106597571
PHC3,0.995512454145649
MBNL2,0.995453822089501
ZNF678,0.995144914113582
LCOR,0.995063624808481
NBPF12,0.995062526194061
CITED2,0.995019303378897
LOX,0.994820977318939
RIF1,0.99480944539269
LHX9,0.994805576279476
ENST00000456098,0.994767189870449
PCDH9,0.994759390213022
ABCA10,0.994604440450124
CNKSR3,0.994569776439538
AKIRIN1,0.994541346767832
PTEN,0.994469899425267
CNKSR2,0.994321462616863
CRISPLD1,0.993694091051245
TP53INP1,0.993693401266262
RESF1,0.993303598754226
ABI2,0.993288646636595
ZNF800,0.993285180697765
AKAP6,0.993239381716654
NSA2,0.993228025913681
UBN2,0.993192994866297
BRWD3,0.993182610078703
DACH2,0.993023833040122
EPHA3,0.992470929522065
TENM1,0.99230805578125
LBR,0.992294334916146
DCUN1D1,0.991863897926793
LIMA1,0.99163153531009
MAMLD1,0.991580467448657
RFX3,0.99151904336756
AP1G1,0.9914433059825
SLC8A1,0.9913737193087
NBPF9,0.991248138617721
RASSF6,0.990896249227082
KAT6B,0.990826206469097
TMF1,0.990322150883132
KLHL15,0.990278486164354
ENST00000282030,0.990261156013839
AGO2,0.989941851767491
KLHDC2,0.989779589433928
CLK4,0.989717101337239
ZNF367,0.98967688166889
BEND2,0.989525144922459
KBTBD8,0.989481116318376
BUB3,0.98937692073768
PANK3,0.989187480482046
NPAS3,0.989157377713268
WDR26,0.988767134687245
HOOK1,0.98864645143306
SF3B1,0.988627468183907
WDR82,0.988237552253555
NLK,0.988222985692985
NBPF15,0.988143565036115
ADAMTS20,0.988079001769099
LMAN1,0.987930446814894
GFRA1,0.987868500369047
HIPK3,0.987795594710265
ARHGAP5,0.987659137491602
TMEM132B,0.987621369227162
AFF2,0.987366677738405
LYST,0.986677417750554
SMIM21,0.986296822614738
PCSK2,0.986294364028088
STYX,0.986255872552257
MFAP5,0.985791209153737
SFRP2,0.985636256976393
BEND4,0.985511997153368
LPP,0.985452004266601
RBM46,0.985399738158134
PIGM,0.985305559903639
PPIG,0.985267920795326
ZMYM2,0.985137241722505
SAV1,0.984940647498228
PEX13,0.984677989796907
KLHDC7A,0.98466023234332
SLC26A7,0.984240023593776
PLPP3,0.984148796433168
ZNF292,0.983659622677269
ZNF681,0.983277123928225
GRIA2,0.983226409195846
CREBRF,0.982884197832253
AQP4,0.982852272087678
HACD3,0.98265590632494
SYT16,0.982554381253915
WASHC4,0.982514518517004
YIPF4,0.982372733403712
NEXMIF,0.982331919855551
RGS21,0.982269746692609
SOX11,0.982229015559695
TPR,0.982185650799563
PPP2CA,0.982109295227492
EFCAB11,0.981806873806505
PPM1D,0.98180632398581
RASGEF1B,0.981678075032369
PRR27,0.981642726063406
RUNDC3B,0.981579510946421
KLF3,0.981388094622062
SLC25A53,0.981198968757967
UST,0.981137153071642
MGAT4A,0.981068861439083
XKR4,0.980707771530721
ZNF148,0.980604528350563
RSBN1L,0.980511293281862
NDUFA9,0.980333510986654
TMEM106B,0.980297160735382
LUC7L3,0.980286135947592
ANKIB1,0.980225948398664
FMR1,0.980178268397544
ODR4,0.980129988533872
BCAT1,0.980062198938143
RAPGEF4,0.979964456630342
ALG10B,0.979843234438468
USP15,0.979652599730821
HNRNPUL2,0.979441058673244
ACTR3C,0.979220425898358
NABP1,0.979071184145234
HOOK3,0.979050291518868
NDUFV3,0.978994515474816
ANTXR2,0.978956174021059
MAP3K2,0.978812348993262
ARAP2,0.978692734936192
POU4F1,0.97854260766099
TMEM65,0.97846198058104
GCNT4,0.978383206007354
RABGAP1L,0.978227255674117
UBQLN2,0.978185075100972
PLXNC1,0.978151145385821
PLEKHA1,0.978115090793301
RNF170,0.978107151597477
FGD4,0.977970500814495
TRIM24,0.97795781233461
PHTF2,0.977945406556107
SPTLC2,0.977942868955056
ITGB6,0.977897028513686
NDEL1,0.97760329253767
GOLGA6L4,0.977235136122789
IQCH,0.977123875399093
ELOVL4,0.977058541525992
CLEC5A,0.976889365087555
FBXO45,0.976842030460799
SOCS6,0.976695569662973
RSF1,0.976483840821823
RC3H2,0.97637862024411
AP5M1,0.976365174290391
ZMYND11,0.976048534765681
KCNQ5,0.975802276231112
MEF2C,0.975789188830562
TMEM255A,0.975768687505099
DNAJC21,0.975389871343532
FGF13,0.975334816856764
PCDHA9,0.975177367879628
FAM153A,0.97501726605086
NBPF10,0.974878487078303
FUT9,0.974811382008226
SPCS1,0.97468827478745
SESTD1,0.973990300910561
ORC4,0.973902703083924
PTPN4,0.973496992334892
EIF4E3,0.972982069146355
MIB1,0.972556158985986
LIMS1,0.972414327716552
ZNF99,0.972340107366119
SEC63,0.972311640988096
ROR1,0.972072974533421
DPY19L4,0.971925672604468
PHF2,0.971521321725466
GADL1,0.971513611537604
HNRNPR,0.97146650056468
PLEKHA3,0.971447503300663
CBWD1,0.971365066658458
KCNMA1,0.971029644541343
ZNF773,0.971026683831299
ELF2,0.970881303889209
NEGR1,0.970737247850136
PJA2,0.970709419402853
RAPGEF5,0.97069162726111
GAP43,0.970381345989942
ENST00000378565,0.97028498253683
DMRTA1,0.970015746248645
EIF4E,0.969994488610842
EEA1,0.969991446793114
SPIN1,0.969467171825474
PRPF40A,0.969453772611701
TMOD2,0.969186686330487
ZFP28,0.969164259368204
GMFB,0.969164242593353
GXYLT1,0.968931631053724
COL4A3,0.968928298969613
MYO1B,0.968912636751
QSER1,0.968450348650072
ATP8A1,0.968426491977038
LMO7,0.968157543960194
FAM241A,0.968096547381336
NBPF20,0.967838016328836
