Gene,Score
SLC9A5,0.999999854904353
HIGD1B,0.999972714914079
PLLP,0.999771923154346
PURA,0.996380758292623
AC006994.1,0.991369498358976
B3GALT1,0.990450412825876
YTHDF3,0.989481641532516
HID1,0.978097855430139
CMKLR1,0.971510156240849
MYF5,0.969934873668682
AFF3,0.969341662930436
TRIO,0.967191283527695
SMIM27,0.964099395103956
CABYR,0.96302123086302
KHDRBS3,0.961856259019078
TRIM44,0.957744386144282
RAPGEF5,0.956306732400524
NTM,0.953996376120183
ERVFRD-1,0.953402788694505
ADAMTS6,0.952883222377989
REPS1,0.951857321131551
CLDN18,0.950217944232868
ENST00000558084,0.946386585612496
SMG1,0.945913136279753
SAP30BP,0.945611628671735
RFX5,0.9427365158954
ZNF773,0.94193086877807
FBXW2,0.941547784497837
KCNMA1,0.940020829461905
TGFBI,0.938717775668523
SYT7,0.938376217627669
GNAI3,0.93765022771565
HDAC2,0.93719663470178
GLCCI1,0.93581914351084
DIPK2B,0.934044057797069
CTSH,0.933110182781145
SEC24D,0.931046762941864
RPAP2,0.926538149058535
SETD2,0.925065144738622
RAP1B,0.924699467410894
STARD3,0.924566880768184
GABRR1,0.924061911552462
DNAI2,0.923119711840971
DUOX1,0.920539615984187
HECTD1,0.919229247164113
BHLHB9,0.917601655196353
ENST00000480462,0.917530564015227
PKNOX2,0.915122290920506
SOGA1,0.914011271600115
DNMT1,0.913424067818253
SCIN,0.912892797038077
GDNF,0.912550663758257
POU2F1,0.911253558418074
HNRNPUL1,0.911137158200348
CNTFR,0.911000142830217
CXXC4,0.91078305904122
ENST00000610431,0.910653976314593
ACTN1,0.909212441260966
DHX38,0.90915284587603
MTF2,0.909056267684769
HAL,0.9082853704151
HSD17B7,0.90728607728149
EPSTI1,0.907027123221336
NKD2,0.906672906281272
KLHL7,0.905889859167334
TNRC6A,0.905631376666257
OLFM3,0.905470745608642
MYO18B,0.905243838002997
ZC3H14,0.903389096438427
PRDM6,0.903183635665935
EVC2,0.902525988081283
SRGAP1,0.90212176983881
EAF2,0.901902543761603
FAM155B,0.901326063175858
SHISA7,0.900081135147502
LPA,0.899612832766161
KCNJ6,0.899247560004741
FCAMR,0.898985933622638
GPR158,0.898929482204867
ERC1,0.89837291073072
DEGS1,0.898004471009987
PGM3,0.897964165772017
FAM186B,0.897505498260761
SMAD2,0.89742787301315
C2orf73,0.895648059684
SIK2,0.894363930314565
ZNF827,0.894152577267527
UBE2I,0.894067084108581
ERCC6,0.890842378661771
ALG12,0.890395304328142
MDM2,0.889300104976592
SYT9,0.88753212550378
DNAJC15,0.88736662570686
SYNJ2,0.886653298188725
ENST00000558190,0.883062987824931
ANTXR2,0.880770639653259
RBMX,0.879015776797508
PTK2,0.878231400477641
NFASC,0.877236091263647
UBA3,0.876828979607392
ZNF609,0.876809029620606
LRP10,0.876404619528905
B4GALNT1,0.876074974690545
MYO18A,0.875092514687935
SIGMAR1,0.874412531993655
MUC15,0.874212906474206
ROBO4,0.873531156298288
CRAT,0.873267455253063
ATXN2L,0.873192243443034
ITSN1,0.871868267510571
KLRD1,0.871708499299413
MOGAT2,0.871587068289753
AC007546.3,0.871001306610253
NCR3LG1,0.869403977660853
XPR1,0.869062832656774
ENST00000621003,0.868717214242134
PSD3,0.868338235503319
ZNF142,0.86801710651627
SIRPA,0.867673419927244
FDFT1,0.866552446789139
CCDC38,0.865708947248749
CASZ1,0.864276855052741
ZNF19,0.861593094075279
RPS6KA1,0.861258796556945
EYA1,0.861112322419079
HUWE1,0.860151294759841
SVIL,0.85964136382301
CPNE6,0.858609954154665
AFF2,0.858514781124623
DDX19A,0.858408282213102
TMEM63C,0.856638246984985
NHS,0.856561685893666
EFNA5,0.855837975319923
TJAP1,0.854097633633158
NEDD4,0.853765889354678
ONECUT2,0.852686679315983
CREB3L2,0.851341631023271
ZNF480,0.850892023189924
STRADA,0.850242425057646
ZFP36L2,0.84981702720271
TSR1,0.849703334520209
SLC30A3,0.849529003938211
GJA3,0.848562496980619
WFDC5,0.847870864381436
PPARA,0.847502466489642
AMDHD1,0.846952996326279
ENST00000546136,0.846124512388471
GRIN1,0.845918085854595
TYW1,0.845854924356966
DSG4,0.845736533757438
PTPRD,0.845484452103483
DNAL1,0.844726314359585
ABCA2,0.843846694056928
KCNH6,0.84376147415018
DNPEP,0.842803373030866
RBBP6,0.842581762418539
UBAP2,0.842507000356813
DAPK1,0.842121803742349
CHST12,0.841798150987086
STMN2,0.841755226707495
RUVBL2,0.841553021854895
MUC22,0.840680256773315
TRMT13,0.839969633315473
ZRANB3,0.839675314394182
TMEM65,0.839632055537766
SLC24A2,0.839299196954262
MUC21,0.839172627603922
MED1,0.838472080609945
CADM4,0.837996586557718
ACTG2,0.837689715051281
RNF128,0.837377277348688
DERL2,0.83639643537996
ENG,0.83609896716543
CBFB,0.836071862425196
SS18,0.835744050573505
MRPL42,0.835320045101875
NECTIN4,0.835269270558207
BTBD9,0.835103233969278
ZNF576,0.834785142991085
MXRA7,0.834422379629156
ZFP36L1,0.833922932449097
REEP3,0.833235297637352
NAA30,0.8327378403367
SYS1-DBNDD2,0.831958323745685
PSD4,0.831946395532233
MIS18BP1,0.831715204392659
NOVA2,0.831580649218005
GNG13,0.831380387642212
RCAN2,0.831351698874394
DHX57,0.829795114871093
LY6K,0.829472066565913
SPRYD4,0.828106130462598
STK3,0.827990354480571
TP73,0.827660904773116
KMT2E,0.827464323757548
RAB11FIP1,0.827210676019606
EMC8,0.826937809253782
DFFA,0.82666895420644
GGN,0.826218364652257
ENST00000468418,0.825632549355805
ARF6,0.824795235722188
VPS25,0.823644229734473
AAK1,0.823643027240711
LSM12,0.82326183644404
SAMD4B,0.822990805880928
OPCML,0.822956053190957
PRSS37,0.822021226021889
HHLA3,0.821633477820731
GABBR1,0.821127334318538
