Gene,Score
RC3H2,0.999368562904804
ZNF430,0.998119840969777
CREB5,0.99741188942499
C12orf36,0.997010162115417
ZBTB37,0.995941798904849
LPPR1,0.995738497492561
XPO1,0.995494969341512
ADAMTS6,0.994893081803519
ENAH,0.994628401530734
BVES,0.994173474217175
GSPT1,0.993885659936045
HELZ,0.993623335620164
ZNF117,0.993540794852847
FAM89A,0.992977738100611
BX255923.1,0.992804158484818
C1orf95,0.991734654145952
MMP16,0.991135804182171
PLXNC1,0.990831492795897
EBF2,0.990679462315004
ABI2,0.99032498097284
TGOLN2,0.990302753339633
CDK13,0.990292128781529
GMCL1,0.989993110719647
METTL10,0.989850594621047
ARMCX2,0.989667916396867
CDK6,0.989492940215643
ONECUT2,0.989387708964807
RAP1A,0.988998160264578
BHLHE41,0.988598119899898
TMEM47,0.987912899737521
BMPR1A,0.987708057738994
MSI2,0.987082231305673
PCDHA2,0.986854369607977
PCDHA5,0.98683976317303
PCDHA6,0.986756836872808
PCDHA13,0.986674398341668
PCDHA10,0.986661455679622
PCDHA7,0.986660752301118
PCDHA1,0.986645720383597
PCDHAC2,0.986609051773142
PCDHA12,0.986598112963708
CAPRIN1,0.986512579480521
PCDHA11,0.986448838998468
PCDHA8,0.98644368823123
PCDHA3,0.986407777637677
PCDHAC1,0.986404054541091
PCDHA4,0.986187926562561
LMO3,0.98436567670954
TMEM255A,0.983699858146221
CPD,0.983370053739275
ARF1,0.982743499610557
TMEM106B,0.982465430073653
GTF2A1,0.981957649370875
MIB1,0.981495919717085
TNRC6B,0.981409323207232
ESRRG,0.981133938161204
HSPH1,0.98084539340683
ARPP19,0.980064572513635
HLTF,0.979951597823376
DHX15,0.979940620411689
RBFOX2,0.979621282619855
RGS9BP,0.979614442986765
SUGT1,0.979587607880259
PBX3,0.979198771272026
PPP1R12B,0.978525671008998
PCDH19,0.97822678112933
YOD1,0.978198112675411
TPM3,0.97722832592709
GLIS3,0.976856388829875
SLC5A3,0.976563071228634
BRWD3,0.976072352004729
SLC5A3,0.975778465110464
NFIA,0.975770700335784
PDLIM5,0.974797167101454
COPS2,0.974494373280774
PARP8,0.974489476652376
ZFHX3,0.974456353165981
UBE2D3,0.974379303944597
AK4,0.973737364207113
TNKS2,0.97351910228729
FAM199X,0.972959401732983
BNC1,0.972795693916506
CNKSR2,0.972459288031518
IRF6,0.972235742954617
CBX5,0.972228715165122
NFATC3,0.971243477970541
FOXP2,0.971020468767736
HNRNPF,0.969835507003573
NUFIP2,0.969766307865024
FAM160B1,0.969706903560905
RAB11A,0.969596912961916
PHF1,0.968612040271609
HIVEP2,0.968485441541819
MXD1,0.968358239835723
BLCAP,0.968290557391828
ZHX1,0.967962174470947
TRAPPC8,0.967822356135169
SECISBP2L,0.96772238385852
TSC1,0.96693767374994
NIN,0.966776800630003
ELL2,0.966759552186615
SREK1,0.966268105734922
PNN,0.966220583601887
DNAJC10,0.966178028182893
NR3C1,0.965855829935725
ZBTB21,0.965801925472532
RIT1,0.965368065278971
ABHD13,0.96532349234078
ATG2B,0.965253666754572
ZNF708,0.964837159369137
MSRB3,0.964599131772835
CUX1,0.964593396049608
MAP3K7,0.964278638164078
PPP2R2C,0.963893862897643
PRCP,0.963680297462118
RAD9A,0.963641435929496
CEP120,0.963175314356164
NFATC2IP,0.963036270531883
MAPK1IP1L,0.963011526536252
RAB18,0.962916275722081
KITLG,0.962617687660305
GCG,0.96259598502085
ZC3H12C,0.961546816067318
HECTD2,0.961380326940919
MLLT3,0.960798511755191
CREB3L2,0.960757581757674
SPOPL,0.960703983886617
FAM117B,0.96062934676139
LIMCH1,0.960513993214935
ARFIP1,0.959878524969519
E2F7,0.959854878492948
PPP4R1,0.959835334064841
POLR1B,0.958797636063343
CD47,0.958745624708487
LCOR,0.957839403707871
KPNB1,0.957769131648423
RAB3GAP2,0.957576563602855
CBWD3,0.957437503891368
AP3M1,0.957388783527095
RBMS2,0.957317114010959
IGF1R,0.956251759783611
CBWD1,0.956229405212498
CHIC1,0.956113961405036
LHFPL3,0.956089217005407
RP11-293I14.2,0.955767753535118
MAP7,0.955705765591474
TROVE2,0.955370432174369
REEP3,0.955170237908117
SMURF2,0.955101306720886
MIER3,0.954648527667263
ALKBH5,0.954608269399215
ZNF281,0.954466134642352
SRSF7,0.954444573610297
CNOT6,0.954232805004049
RBPJ,0.954186007371373
FAM155A,0.954029856614312
FAM188A,0.953923139401523
EMB,0.953825282770469
NXT2,0.953765262612469
RPA3-AS1,0.953732529425757
NCDN,0.953338795351968
ARHGAP5,0.953243580467595
DNER,0.95319731815131
SLC9A2,0.953106887282391
GRIN2B,0.953028071996385
EIF4E3,0.952822605492468
SOD2,0.9523659931207
MAPK1,0.951809918375959
KIAA1958,0.951701537287783
FAM63B,0.951437971780938
SLC6A6,0.950814538779773
NUCKS1,0.950612343172006
MRPL35,0.950539002395391
