Gene,Score
NFIB,0.999704887499175
GSE1,0.999686742347159
ENST00000367895,0.999655232001722
BBX,0.999586343438003
PPP6C,0.999371255878016
GNAI2,0.99932592766175
MINAR1,0.999090172438582
ATP2A2,0.998917344622825
ZBTB37,0.998873697210357
AL024498.2,0.998655194480562
C22orf39,0.998400484964433
TCERG1,0.998174072904125
SRSF3,0.998005839486824
INHBA,0.997826092859956
NR4A3,0.997755626651138
LONRF2,0.997682880710364
MBD6,0.997680455001905
SRP9,0.997641052466366
SPRED1,0.997590558072793
RGS17,0.997427874533876
MGAT4C,0.997362374866729
DUSP4,0.997287572675708
CALD1,0.997209675312909
ACSS3,0.997182948416437
CRK,0.997033081309928
ARID2,0.996980735557276
SARNP,0.996739288795935
SLC30A7,0.996734383126869
HM13,0.996640067698369
NPAT,0.996099522452435
STRBP,0.996045365608078
MTMR4,0.995955760627102
AKAP6,0.995429575381356
TENT4B,0.995278607141127
HIP1,0.994811220264979
ELAVL2,0.993869262423171
PAXBP1,0.993784706778373
PSMF1,0.993511665797199
SOWAHB,0.993339781335484
CASZ1,0.993289423808657
TRIQK,0.992761372552892
ZNF891,0.992691261429885
PUM1,0.992432266081961
PSIP1,0.991930402090463
EIF4E,0.991902004537368
DNAH6,0.991491103066777
RSF1,0.991473846452029
TMX1,0.991376727514384
RARS1,0.991176759775397
SIRT1,0.990808106980574
RNF103,0.990458167669809
POU3F1,0.990295841339574
SLC35A3,0.990034667400625
ATM,0.98999680199049
PIK3CB,0.989816516736322
NRIP3,0.989810272344401
DAZAP1,0.989535626449419
TECPR2,0.989516819056951
SOX11,0.989456522220194
NCBP1,0.988672648059886
SESN1,0.988624387956417
ANP32E,0.987861615726959
CD3G,0.987702679046385
HNRNPA0,0.987159677219405
RUBCN,0.986917108907799
ZNF148,0.986903165975253
LRRTM2,0.986427097172358
PGR,0.986177660787771
KPNA4,0.985804894923986
SSR3,0.985413792484617
FBXO30,0.985354915593615
RNF128,0.984081554458003
ZNF804A,0.983814001353268
DDX3Y,0.983742097491274
SPPL2A,0.983540460919888
CNIH1,0.983465738762457
KLHL20,0.983231781738527
CLRN1,0.983198555913511
AGO3,0.982825946832763
CECR2,0.982793722301272
PRELID2,0.982567476958932
DPYSL3,0.982344177269317
SMAD2,0.982001733064878
NDUFAB1,0.981458007973272
STAMBP,0.981165442566041
QKI,0.980608304343561
USP50,0.980369866703505
VPS13A,0.980160458095148
NFAT5,0.979069121693384
APOLD1,0.978818658886526
COMMD2,0.978803920870862
AKIRIN1,0.978628870429325
SMIM27,0.978505706826401
DDX52,0.97824770522329
WWC1,0.977834205723043
TNRC6A,0.977814010437135
ZNF451,0.977672856573236
RNF180,0.977596933871596
DNM3,0.977387615705291
BMPR2,0.976523877096436
SRSF10,0.975890930660971
TENT4A,0.975652724763985
TGFBR3,0.974973994827613
SKAP1,0.974796640258831
AC008764.4,0.974061647629977
SV2C,0.973971891251718
FBXW11,0.972331702314698
PIK3CA,0.972092563692376
UBE2W,0.971710643248214
ARID4B,0.971254552707234
FEM1B,0.970999149552765
UCHL5,0.970934027289119
CRNKL1,0.970727721649919
DDI2,0.970044404290066
DDX3X,0.969428685620783
PIEZO2,0.96928356928218
NCKAP1,0.969063778301924
HIKESHI,0.96846545775068
MIER1,0.968196467655763
SYT14,0.968140658459701
VEZT,0.967986776702843
ADGB,0.967881113812636
MAGI1,0.96703500094515
REV3L,0.967011420487299
MAPK1,0.966766613290898
DZIP1,0.96674953826089
STRN,0.966644769697807
FLRT2,0.96636490868756
WDR12,0.965944419628366
MIER3,0.965898065243288
CACNA2D1,0.965743627442437
GSKIP,0.965727054595246
FAM83D,0.965077726696031
SUGCT,0.964856287133707
MRVI1,0.964656257614672
TOR1AIP2,0.964638629329872
PNPLA8,0.964510224680725
RANBP2,0.964350859427261
RBM15B,0.964244143478066
LHX9,0.963856212837005
SLC5A3,0.963161548340591
EPS15,0.963005481352574
AMD1,0.962824018520713
ZBTB44,0.962753749957835
CCN2,0.962550538528055
PRDM1,0.962163101431206
SLITRK5,0.961905522223189
EREG,0.961779018101566
SPATA5,0.961614747374176
UCP3,0.961194888892981
TCEANC2,0.961036016383243
FANCF,0.960443576415442
MBTD1,0.960379217937491
NEK3,0.960330286583649
ZNF112,0.960010529328814
IBTK,0.959652282577096
PRPF4B,0.959569607190276
GCN1,0.959112305159509
DDX39A,0.958498497001558
SKA3,0.957794121691988
CDK6,0.957736052351507
USP7,0.957502933803921
TLE1,0.957371385467444
CEP78,0.957236146216186
ING1,0.956931528156445
PRLR,0.95654081059618
PLEKHB2,0.955920572357342
TM9SF3,0.955747861277332
ST13,0.955538667420087
GNAI3,0.955537015186966
ATG4C,0.955458870933015
TMEM168,0.955022730783645
HMGN2,0.954683889261054
ZNF367,0.954489802940249
IL10RA,0.954417311870058
NUP37,0.954171904936889
KLHL2,0.953502628344764
BHLHB9,0.953215858545796
RBM20,0.952189160282405
ABI2,0.951923055387165
NPPA,0.951907798051145
KCTD16,0.951564584468177
DZIP3,0.951397187393459
CITED2,0.951198829581479
CDYL2,0.95104704987255
KDM5B,0.950747958596247
MDH1B,0.95065178509147
ACTR8,0.950378042027986
PER3,0.950276481314507
SORBS2,0.950215107492461
NT5DC3,0.950198343077156
TFCP2,0.949943102005347
ACVR2B,0.949718756847114
KATNA1,0.949562260583788
PTBP2,0.949455229307501
WAC,0.94933045716293
CHL1,0.949304768897614
FHL2,0.948481664165748
KLF3,0.948468489503738
RGPD2,0.948283272813655
NDUFA5,0.948228587215615
DGKH,0.947857886029695
SETD7,0.947260930704275
C12orf29,0.947106757539873
RBMS3,0.946460220446714
EIF3A,0.946227873608259
GABRA4,0.946120686101476
CUL3,0.945955657364906
ENAH,0.945907830832138
RASGEF1B,0.9457457075439
MED13L,0.945528016461286
GEMIN5,0.945199784585417
GPR85,0.944973631783807
PAK3,0.944526395382764
RIMS2,0.944505680006955
TBC1D23,0.944372389524648
PRTG,0.944323985036249
ATE1,0.944228166972837
GLRA2,0.943623733528934
DYRK2,0.943536748151287
FAM98B,0.943423601770268
PCDH9,0.943329431467192
ATP8A1,0.943278050238832
ZNF24,0.943228985608592
APH1A,0.943125605722395
ASPN,0.943115061394967
CDS1,0.943106684301078
RUNX2,0.94293762014884
CLDN5,0.942927010541568
RBM25,0.942805141423928
NAA50,0.942575462588713
C16orf87,0.942479815784727
PLEKHA3,0.942310758308761
MRTFB,0.942303613420014
PROX1,0.942074591740413
DGKB,0.941698003965058
STAT4,0.941219224699543
ENST00000558190,0.940573845369577
TMEM170A,0.940182864240719
GRIN2B,0.938907469323571
IFT43,0.93887113245076
SUGT1,0.938522069859747
VSNL1,0.938461681621346
ALG10B,0.938434218967734
PPP1R15B,0.938264860451785
SRGAP3,0.937688766969773
CPT1A,0.937082970163912
GNAI1,0.936819971495895
PTGER2,0.935978285466263
ERBB4,0.935828437382834
LRRTM4,0.935774201549824
SAXO1,0.935628360899833
HDAC9,0.935621690092527
ENST00000392845,0.935368448182459
NUDT11,0.93497823250376
TMEM47,0.934890120918338
IPO11,0.934848036109441
TAP2,0.93429949097658
XKR4,0.934280237352908
SCYL3,0.934024717966556
MED12L,0.933331635449565
TMEM87B,0.9325368844527
ZXDB,0.932159852783428
ASXL3,0.93157240772212
SAXO2,0.931279651009006
RAVER2,0.930766928381174
SOX2,0.930041574480707
ZPLD1,0.929687467108311
FTO,0.929475871866115
G3BP1,0.929363327759058
ARRDC4,0.92910674042183
TRIM25,0.929047026647906
YY1,0.928188122009233
SPATA17,0.928001379116831
FUT9,0.927942913796074
YAE1,0.927732940777987
IGF2R,0.927618764742137
WDHD1,0.92738810181361
CCR6,0.926715699806593
KLF6,0.926529585360123
FAM53C,0.926261460489071
CHST12,0.92605530803765
SRSF8,0.925692554257677
IMPA1,0.925037547337415
MLPH,0.924782126463994
ABHD18,0.924694688253564
PCDHB1,0.924658083913408
PDE7B,0.924297721722066
ELAVL4,0.924221057320628
TRIP12,0.924015453491045
ABCA1,0.92396043157925
UBN2,0.923755325925375
ENST00000456098,0.923707810592309
VWC2L,0.923384420466761
AJAP1,0.923213409534237
CRB1,0.92318070157211
TET1,0.923152985354264
TBC1D28,0.92306173603416
PAG1,0.922993561901195
ACVR2A,0.922869921843635
PDIK1L,0.922721530561893
VWC2,0.921754448382737
CACUL1,0.921523109826778
FAM161A,0.921514259367384
PNMA2,0.921294727195862
ITSN1,0.921280182718367
TM6SF1,0.920696272215992
VSX2,0.920643493286785
SRSF12,0.920477060582692
IKZF3,0.920165078702347
REPS2,0.920124513798827
MYT1L,0.920034412725451
PARP8,0.919989466927812
COQ7,0.919452350664535
ADO,0.9193368335319
SHH,0.918985270037102
IFT74,0.918821933356666
PTBP3,0.918655358099454
TRMT5,0.918552951726404
RORB,0.918408514131765
GNA14,0.918149171465504
SPRYD4,0.91809399917832
C15orf40,0.91804443274649
KALRN,0.917847239302953
BACE2,0.91773447450726
PLEKHF2,0.917568589549408
ZBTB10,0.917565443070371
EZH2,0.917483351912891
CPD,0.917403548829608
FNBP1L,0.917290707518151
SPDYE5,0.91646859598013
KCNH5,0.916400122319725
RC3H2,0.916270323267205
ATAD1,0.916201854851852
RPRD2,0.915231003861098
AP1G1,0.915186263983136
ENST00000373985,0.915120064338034
MICU3,0.915092295363981
CLSTN2,0.914712412745682
ESRP1,0.914484016611192
TENT5A,0.91429150913646
RGS22,0.913914251514856
PXN,0.913622921734962
ST8SIA3,0.913061678634626
SLC12A2,0.913047994333049
