Gene,Score
UGT2B7,0.962942336531516
RDH11,0.956549453260227
STK40,0.939102597894495
TIMM21,0.924589344946936
DPP9,0.922087674814719
C6orf132,0.916307941659531
RASA1,0.914779605596161
SV2A,0.908781058295963
ZNF114,0.904679903753532
KDELR2,0.903290535621844
HOXB5,0.901035338614977
GTF2H1,0.897199961142329
THUMPD1,0.889997839824317
ZNF396,0.876021516082436
EZR,0.872624265819931
SPRY1,0.87249385165791
PSORS1C2,0.864618791738999
FN1,0.863982202942554
CLEC5A,0.846932768022255
GTF2IRD2B,0.84633740979421
SLC5A12,0.838330453185738
STEAP4,0.830746470313821
ZNF471,0.82656400386697
CUX1,0.823499183307826
MEX3B,0.819506907269393
SLC17A8,0.818710759221765
NFYA,0.811429260186615
THSD7A,0.807875053048341
KPNA1,0.80593587983331
CBLL1,0.805347751830829
AGPAT4,0.805267689637941
EDEM1,0.804866433624906
THOC7,0.804857063656456
TLL1,0.803576715780422
