Gene,Score
TMEM212,0.999915853693674
RAD23B,0.999710452992852
MEX3B,0.998777571625752
TMEM263,0.998764331331822
MUC5AC,0.997349748370225
SCRIB,0.997311355221323
GPR63,0.996320238774305
MSTO1,0.995669079484049
EPHA4,0.995043027742381
TTLL1,0.992885528398857
C10orf67,0.990032730270654
LACC1,0.988049475606951
MOBP,0.986305786734999
RSKR,0.986143019924916
RNF115,0.986079310422487
FAM78A,0.984915767729251
VLDLR,0.980452581630383
PDZD8,0.979429130729411
ZNF519,0.978845117365688
C5orf52,0.97675938396733
ZIC1,0.976673147793107
SLC35A4,0.9762777287567
JPH1,0.97292939530589
TLK1,0.971058905714925
SEPTIN3,0.970545710788285
MBNL2,0.970281412654691
DZIP3,0.969929905320823
CYP2R1,0.969908496611456
SAMD3,0.9662491646557
FNTA,0.9657662283395
HEXA,0.965663432426738
ITM2A,0.965049248976806
AMIGO2,0.964910031503556
LGR6,0.961584725264115
TRIM52,0.961184899873552
SEMA6B,0.96103480895248
TAF5,0.96085346515747
PDE4D,0.958471938531616
OTULIN,0.956592963068988
MUC12,0.956060708781044
RAB28,0.950793681079141
ENST00000422223,0.950548342101355
NDUFAF7,0.950365761921245
CD84,0.949214346556355
PCYOX1,0.948341914159093
LYST,0.947967921318372
OMD,0.947323491939025
BTAF1,0.947163327687731
ARFGEF2,0.946427581006383
MARCKS,0.946025469393694
ERBB2,0.94428731555721
SEH1L,0.943886890273903
CWH43,0.94022251949862
SLC26A7,0.939901832615173
NEPRO,0.937127998462509
ANKRD36C,0.936772725712157
PTPN23,0.936236002033774
HNRNPUL2,0.934352329841656
LRRTM4,0.933736562821164
BZW1,0.930493532837853
AC134669.1,0.929598316343648
SKIDA1,0.929494164619437
KAT2B,0.929376227819596
PCNX1,0.928848571610971
CSNK1A1L,0.926250081389554
ERVV-2,0.926191490274229
TNIP3,0.926010366076885
LUZP2,0.925805081771433
AC005833.1,0.924687439289511
SMCHD1,0.924433466579473
LMCD1,0.923774152344158
ADGRL3,0.923369660205144
RSPO1,0.922389380281357
PRKCA,0.922370669132148
CACTIN,0.919836680831376
KLHL31,0.91980052337948
MROH7,0.919607397932759
CMSS1,0.918721294370576
RSF1,0.915735270906065
MEIS2,0.913959985517381
BICRAL,0.913505242092862
SMC5,0.91152117451138
LACTB2,0.909992819960778
ASH2L,0.909155847710844
TFAM,0.908767016615204
ATP2B4,0.906756229980199
CYB5D2,0.906483490102858
HSPH1,0.906013475771586
NCR3LG1,0.901822387920499
ZRANB2,0.900752312934883
GSTM2,0.897874728979818
SMTN,0.897781558911547
LRWD1,0.894094905308014
DDX17,0.893608544505199
CCDC25,0.893048222736785
MAPK11,0.890221881001628
GORASP2,0.889426720161084
ENST00000309893,0.888729082501484
ZNF764,0.888168363635942
PPP2R5E,0.886667694977519
TBC1D2B,0.885194441045277
C6orf62,0.884507688540555
IMPACT,0.883343518302844
GBP3,0.883267166885004
ENST00000620076,0.883046623913889
ITPR2,0.881595104515595
CDH8,0.881509824937146
KRTAP24-1,0.881431821383883
PLA2R1,0.880898207207055
POU2F2,0.880719004446549
SNAP91,0.880636305192961
LHFPL3,0.876930768306824
CLEC2D,0.876453693573412
SLC8A1,0.876220203058529
C2orf73,0.875355854027595
ADAM11,0.873727130584254
AP3S1,0.873687978159722
OR2H1,0.872641824144556
AP3B2,0.871557470785622
FLII,0.870420266463863
MPHOSPH9,0.86938911841986
CHAT,0.869318290079086
PCDH9,0.867667231841532
EIF2S3B,0.866079448782751
MTARC1,0.865963820327534
SLC15A4,0.865322792626093
NUFIP2,0.864929962841185
EFCAB14,0.864857109827707
RNF8,0.862601831952802
SENP8,0.862051454560632
RUNX1T1,0.861416426307937
F3,0.860316961946836
HMGN1,0.860302599381699
RANBP17,0.859559685083364
ZFHX2,0.858953336732712
ZNF551,0.858052828298049
FLNA,0.857550962494512
SLC2A13,0.85628658261565
CORO2A,0.854618333420424
RNF24,0.854069689819316
NRIP1,0.854004960006966
MAX,0.853772400655204
SMARCD3,0.853164091977476
RPLP0,0.852838780404884
CAPRIN2,0.851915133881481
CADM2,0.85141711376858
KCMF1,0.850610464922113
CREBZF,0.849742830268222
KCNMA1,0.849719580397576
MBD5,0.84923591025422
P3H1,0.849032442539308
VXN,0.847681770516904
SHMT1,0.847632394820932
LMLN,0.846332958971269
SYNPR,0.845780020404904
BRPF3,0.845245032959572
RHOBTB1,0.845130495160211
NEK5,0.844064096662881
HNRNPUL1,0.842210734439353
TP53INP1,0.841423905578104
CTSO,0.84125017388045
ENST00000611416,0.84050907261798
AC005480.2,0.837194682342108
EML6,0.837161785015295
TNC,0.837156253215264
RBM12B,0.835569976076419
ZDHHC20,0.834718128551418
RORA,0.834519572411022
STRIP2,0.8325209227571
PRMT8,0.831617538286792
TRIM44,0.831092274968193
NOMO3,0.82997332181781
SLIRP,0.829095437230839
FCRL4,0.828763908258796
AC090498.1,0.828276605042202
SRFBP1,0.827293355242541
AC012254.2,0.826770123129476
PIGZ,0.825390098571079
LRRC1,0.825262904399222
ZBTB20,0.824351567087785
ARPC5,0.823770364835755
SOX18,0.823091578122469
PGM3,0.820938391208113
MBD4,0.819877661460105
STK38L,0.81940354788818
WBP2NL,0.81870035789943
ASB13,0.817935996806703
RBBP6,0.816490894681651
NFAT5,0.816273391859633
ATAD2B,0.816247932459883
GRIN3A,0.812461221593373
CCN3,0.812319554418343
HID1,0.811942189085105
PRR12,0.81188368316034
CABYR,0.81147476281499
NDUFS1,0.807956094841655
ATRX,0.807577699129339
BCL2L14,0.807081040743192
NEDD9,0.807067783885637
ANKRD34C,0.807045352844787
NSA2,0.806539625970875
KCNV1,0.806511070198772
ARL6IP5,0.806173222167942
TTLL9,0.805691532543513
PCYOX1L,0.804038182029206
CDH19,0.803585372546109
CARM1,0.803356941916147
OTP,0.802244810930479
GABRQ,0.801423922705788
PTCH2,0.801421285084122
LRRC23,0.80070116507454
