Gene,Score
PPARGC1B,0.999999999760657
BRWD3,0.999999739791892
DGKH,0.999994200237717
STOX2,0.999991590227249
MAML1,0.999985809500052
RFX6,0.999984841117738
GALNT7,0.999980115410358
PDE7A,0.999967971659232
FAM49A,0.999967595111862
R3HDM1,0.999967509274727
SCN2A,0.999960718913029
EED,0.999955342841422
SCN3A,0.999951507312135
SOCS1,0.99994562026292
UBN2,0.999937871514109
TNRC6A,0.99993204794048
SNAI1,0.999931711368468
MTDH,0.999925342800891
MEX3B,0.999925172271104
LGI1,0.999922882099768
SETD7,0.999907582103386
FLJ20373,0.999904581174331
RNF220,0.999902714509184
TBC1D10B,0.999902701698893
CELSR3,0.999871166684047
KLHL20,0.999869664232879
IP6K3,0.999866434457091
CDH20,0.99986066413923
PIP4K2A,0.99985834131607
C9orf72,0.999854135611158
BECN1,0.999843850032579
ELMOD2,0.999821286131563
DESI2,0.999803396281715
LHX8,0.999776262989004
KIAA1549,0.999762399238537
SCN1A,0.999761866222979
ERLIN1,0.999756474282293
GLCCI1,0.999748935932628
STIM2,0.999733310651607
ATP8A1,0.999728429323159
MMP16,0.999724159556054
DCUN1D3,0.99972224010856
EVX2,0.999700235708719
LCLAT1,0.999699369777177
UBE2J1,0.999682713788312
ACVR1,0.999671692916219
PFN2,0.999651301145912
RRAD,0.999650283874135
VAT1L,0.999635051354852
SEMA3A,0.999616251862937
JAKMIP2,0.999615605638736
PCDH10,0.999610266079457
LHX1,0.999575709524794
ZNF644,0.999574506579812
RHEBL1,0.999571551955925
PLAGL2,0.999495418577242
ZNRF1,0.999488638930435
COL25A1,0.999447348930312
RBM26,0.999381478659461
CPNE8,0.999360447186471
FZD3,0.999341554911782
MAP4K4,0.999339765080281
TLE1,0.999291433939386
TNRC6B,0.999290798219047
BRWD1,0.999271372806292
RARG,0.999259563261405
ST8SIA4,0.999254199900961
TENM3,0.999252622188324
PHTF2,0.999241244820807
NT5E,0.999237926652692
GLDC,0.999199113628329
CCDC117,0.999191684271506
FAM160B1,0.999181048428824
LHX9,0.999166852824936
LIMCH1,0.999159369950987
STK39,0.999126060602041
CDC37L1,0.999112091128984
TMEM181,0.999102855482409
SCARA5,0.999095142784432
TMEM170B,0.999090338733279
SPEN,0.999078786633039
RAB38,0.999064738517462
RAB15,0.999056085828673
LIN28B,0.999049383804417
NUS1,0.999029509116686
MBOAT1,0.999028294745674
CPSF6,0.999004214153637
RORA,0.999001298290723
CHST2,0.998995095993307
RASA1,0.998991016825307
ADAM19,0.998923016806194
BAZ2B,0.998894032080357
SYNGR3,0.998861544169255
BNIP3L,0.998830270140257
EXTL2,0.998807990179274
FST,0.998783819721169
MYBL2,0.9987346025309
TWF1,0.998712779433093
PRDM1,0.998684909574908
XPR1,0.998646934859832
PROSER1,0.998638577888693
FAM83F,0.99852036016268
GFPT2,0.998506053604294
MIER3,0.998460354141946
FOXD1,0.998453067712772
RUNX2,0.998402776280276
TTLL7,0.99836292783263
MAT2A,0.998354609678101
CCNE2,0.998279763534626
JPH4,0.998240439067597
LRCH2,0.998221149699539
TMCC1,0.998220488425232
OMG,0.998205026794558
GMNC,0.998115584633301
LRFN2,0.998071894535512
SCN8A,0.99804653908157
PPP1R18,0.998044733476556
SH3PXD2A,0.998031567977801
KXD1,0.997951298098108
JOSD1,0.997899505922052
USP48,0.997857064842046
LPPR4,0.997816549365556
PDSS1,0.997778639927407
MLK4,0.997655994264985
LMBR1L,0.997645750346552
NAALADL2,0.997618456810596
ADRA1D,0.997585422159511
LMLN,0.997520032688198
PTGFRN,0.997513456804527
CHL1,0.997496998098613
CAMK2N1,0.997467795464067
NR4A2,0.997425630947295
MSANTD3-TMEFF1,0.997416739354684
GIGYF1,0.997408740951478
GALNT2,0.997377454635584
TMEFF1,0.997301663380266
SOCS3,0.997280737713273
MAST4,0.997252516642187
ELOVL5,0.997247821461762
RHOB,0.997226536940424
DLL4,0.997130075449263
NUDT5,0.997073625242848
MMD,0.996921029509768
FAM214A,0.9968240802667
WDR82,0.996802855778872
CBFB,0.996756121078242
ANKHD1,0.99674256936553
PRLR,0.996662073368118
ATP2B1,0.996639302994625
KMT2C,0.996608703759066
AMOTL2,0.99659419871258
RAB22A,0.996570735092408
CEP350,0.99656672801967
HNRNPUL2,0.996529175532618
FNDC3A,0.99652225700875
COL13A1,0.9964908924658
LIN28A,0.996440674617191
PIGA,0.996409642848741
RASA2,0.996403121230739
ARID4A,0.996382655255127
ASXL3,0.996352228491031
ANKRA2,0.99634201630203
PEX5L,0.996333403975908
INO80D,0.996305233633182
ACTC1,0.996261183551412
PAPD4,0.996217737868875
B3GNT5,0.996203011897771
MAN1A2,0.99616985348208
TAOK1,0.996089323050214
UNC5C,0.996022317706434
WDR44,0.996010771188394
CCNT2,0.996004962111084
KLF9,0.996000895223917
DCBLD1,0.995997407221103
TASP1,0.995930071997131
TMEM194B,0.995923865593104
S100PBP,0.995865474976628
HTR1F,0.995834704712015
LCOR,0.995790415483991
GALNT3,0.995778843779091
KLHL28,0.995774246692544
ROR1,0.995639182941632
CLIP4,0.99546801643535
CHST1,0.995272361220424
ELL2,0.995259451420494
KCNJ6,0.995188078326831
PAWR,0.995182172880284
VKORC1L1,0.995135878241099
