Gene,Score
MGAT4C,0.999743261092688
CREB1,0.999666604776105
EPHA3,0.999026791225509
MBNL2,0.997968146463864
ZNF273,0.997882403637404
ZNF708,0.997862799085361
ZNF99,0.997752904696393
TIGD1,0.996565317617058
FLRT2,0.996293829062405
SCAI,0.995835082541517
ENST00000282030,0.995566529190026
DCUN1D1,0.994352467948698
SLC8A1,0.994136177791447
RGS21,0.993919838056007
AQP4,0.992980163086428
SLITRK5,0.992881953128554
ZNF493,0.992880654800855
RESF1,0.992664569931842
HNRNPLL,0.992552073642283
LOX,0.992438949090696
ZNF117,0.992344553535625
PHC3,0.991874999299564
TENM1,0.991371151523326
ENST00000456098,0.990737855995316
HMGA2,0.990725761948364
ZBTB37,0.990665997249519
FXR1,0.990421693920709
ZNF800,0.990306055882813
SMAD2,0.990305782489237
JAKMIP2,0.990035746885819
SRSF1,0.989416216205114
YIPF4,0.989330338538339
ZNF92,0.989194261194491
PCDH9,0.988327215102146
CADM2,0.988307151787709
XKR4,0.987665576623247
CCDC14,0.987609045896202
ODR4,0.987363208790056
ZNF138,0.987330509773865
CACNB4,0.986567669985191
TMEM106B,0.98647577225708
PARP8,0.985816305902052
RIF1,0.98498834932693
FCHO2,0.984894583386607
KLHDC7A,0.984654715544814
KBTBD8,0.984249691424694
ZNF536,0.983603686520929
EIF4E,0.983307163853897
ENST00000379264,0.983251966534409
PPP2R5E,0.983118849882346
POT1,0.982480559249517
GNAI3,0.981605419478935
PMP2,0.981288774957518
ZNF107,0.980884054934933
WASHC4,0.980877437739962
GULP1,0.98067455026555
GCNT1,0.980556754459718
SF3B1,0.980097857124782
ABI2,0.979484569585806
SESTD1,0.979463689057938
CCR6,0.979374739551637
XRN1,0.979081338718392
PCDH17,0.978060850869295
KMT2A,0.977946970835665
VANGL2,0.977838260533979
ZNF257,0.977765246180906
WDR82,0.977093210730065
NAMPT,0.976334687002887
CPEB2,0.97550512675282
TMEM237,0.975421799958049
TSFM,0.975068466603402
ZNF367,0.974836981566252
UBE2J1,0.974468748921099
NSA2,0.974465334013072
SLC5A7,0.973574977086001
RSBN1L,0.973415069937193
BEND2,0.973370180034035
ZNF678,0.972775777170611
PLEKHA3,0.972456691050939
ARAP2,0.971689240311751
NEXMIF,0.971002767060118
LHX9,0.970048624500295
PPIG,0.969894283753952
ZNF292,0.969779761300648
TMEM47,0.968824290216327
EIF4G2,0.968357103995149
KLHL15,0.9682222867716
LCOR,0.96812264041753
UBN2,0.968053436019341
SLC25A16,0.967821431538437
TMEM132B,0.96731175890178
BEND4,0.967105496614255
B4GALT6,0.966746030187984
ACTR3C,0.96613093460951
RABGAP1L,0.965502110595241
RBM46,0.965255115511034
NBPF12,0.964953661806345
NDUFA9,0.964349019593017
PLXNA1,0.964279097091333
CNKSR3,0.963714650652424
ZFP69B,0.963508054034449
SMIM13,0.963132835485519
ZFP14,0.962624872195313
TMEM196,0.962479492437849
TOP2B,0.961711146730438
SOX30,0.961287735948623
TBC1D32,0.961253943084966
GABRA4,0.96062037035157
AP1G1,0.960501518288083
RASSF6,0.960350053146191
RNF180,0.960316613629779
YRDC,0.960308976976193
RNF146,0.960258883476614
RAB30,0.96020893240587
ADAMTS20,0.960207654011147
IQCH,0.959494976453689
DTWD1,0.958955024183496
PDE1A,0.958870645233268
NBPF9,0.958465427115606
KLHDC2,0.95788363245271
HS6ST2,0.957733833885311
PDHX,0.957387646710587
PPTC7,0.956984885242746
CD47,0.956555403708743
HOOK3,0.95622956958435
UBQLN2,0.95595487380362
TNIK,0.955406523621813
SLC7A11,0.95474021225844
MDGA2,0.954414188065003
LYST,0.95423891007095
MACO1,0.954234537733454
ZNF91,0.954234105062464
ENST00000306867,0.954218805554365
EFCAB11,0.953867638737075
MYCBP2,0.953657610946329
LHX8,0.95303702123475
DMRTA1,0.952963902118444
APLF,0.95294228806703
CUL5,0.952909614084761
ANTXR2,0.952351394630665
ZNF100,0.951835640282181
PTPN4,0.951486763710518
MFAP5,0.951362686932222
TMEM33,0.950857837425342
RORA,0.950802101649708
GPD1L,0.950311632433833
SLC16A7,0.949893461094677
NBPF15,0.949742366093266
UGT8,0.949584790905433
ENST00000392438,0.9495516749326
TTC23L,0.949520638309344
LBR,0.949483951295986
PDK1,0.949374000211336
B3GAT2,0.948958708386746
INTS6,0.948377641983738
CDH8,0.948349741521258
RICTOR,0.947561688574679
RNF34,0.94677867055414
PRPF40A,0.946769195979807
CALM1,0.946145215976813
ATP8A2,0.946135410096322
AKR7L,0.946079739640696
MIB1,0.945970678533449
ANKIB1,0.945877864490255
TMEM170B,0.945839810655327
ARHGEF33,0.945472503049219
ENST00000348428,0.945436519505213
TP53INP1,0.945410373745102
GABRB2,0.945134638651793
TRIM24,0.944362925493648
ENST00000282478,0.944294791008185
FBXO45,0.944092076868704
BCOR,0.943957050826837
GPRIN3,0.943832838613427
ZNF207,0.94363469693176
ACVR1C,0.943375531716786
SAMD12,0.943078486774694
NDUFV3,0.94279250690669
BRWD3,0.942482117947967
ARIH1,0.942125381942892
TMEM65,0.941504913303433
CSNK1A1,0.940105089327403
ATP8A1,0.939991500299972
GOPC,0.93985333761317
CCNC,0.939850229756303
TMF1,0.939810000564017
COL4A3,0.939572492435105
CITED2,0.93947236633702
PLXNC1,0.939180659664046
SLC15A2,0.938977585820587
ITGB6,0.938782675078091
UBE2W,0.938592561725252
MYSM1,0.938529875501314
L3MBTL3,0.938328295354065
CLEC5A,0.938179528682546
FOXP2,0.938096785301941
CYFIP2,0.937785022864566
CAGE1,0.936582370121785
PDE10A,0.936554011265757
ALG10B,0.936549942313229
DACH2,0.936502217084149
GFRA1,0.935875285326796
U2AF2,0.935764671640626
THAP2,0.934979210484785
C5orf15,0.934423871536405
SLC44A1,0.933820446005358
GMFB,0.933292637260094
SFRP2,0.932921548363299
CALCRL,0.932708720174213
TSPY9P,0.932452236631458
SSR1,0.93238179900727
SCO1,0.931725767614686
LEMD3,0.931341332875095
HECTD1,0.931250490601402
PHKB,0.931032550242968
MAPRE2,0.931018935050984
PDS5B,0.930852946177859
NUGGC,0.930835193906407
BMPR2,0.930731590535326
POLI,0.930449245377092
ADAM9,0.930413489968082
HACD3,0.930368459882572
FGD4,0.930073223380685
LIMS1,0.930018026813839
SLC25A53,0.929652842637352
CRISPLD1,0.92886461637413
NAA50,0.928577792834379
OSTF1,0.92854329112202
ARID4A,0.928344862174841
PPP4R3B,0.928284139918827
GAP43,0.9280564886344
AKAP6,0.927846364032392
ZIC1,0.92753712864768
TRHDE,0.92749299092597
UST,0.927172664350977
ADAM22,0.927116572268183
C16orf87,0.927022001391064
ZNF514,0.92644489975407
LIN54,0.926346877704259
TMEM101,0.925916573889072
PDE1C,0.925847926715211
DDX5,0.92555784389325
RCC2,0.925381830962288
SYT16,0.925249046410072
PCSK2,0.925211801329232
RFX3,0.925117630446227
GUCY1A2,0.92495825260605
CSDE1,0.924928195585632
POU4F1,0.924427299413287
ENST00000611416,0.924276215327911
HDAC9,0.924266873909529
MSMO1,0.923789668400191
TMEM50A,0.923324268877819
FMR1,0.922964476464247
UBE2V2,0.922624668438248
REV3L,0.922307338500333
CREBRF,0.922248295875048
LUC7L3,0.921818066362042
PRKCE,0.92171149973229
CFAP300,0.921269464827913
RASA1,0.920995369425931
IMPG2,0.920925592580834
FZD3,0.920446974886349
UBXN7,0.92039544679861
ZNF354C,0.920124858524033
TFAP2B,0.919939017088753
CBWD1,0.919851929304965
GXYLT1,0.919790302582011
RAPGEF5,0.91970689263752
RAB22A,0.919593706883398
FCRL1,0.919567440546486
INTS7,0.919407928676624
AMOTL2,0.919376556815661
SLC38A1,0.919234960212592
RRP15,0.918881171289318
FGF2,0.918529334545105
AFF2,0.918431215749522
RNF144A,0.917905408127568
ATP1B4,0.917877588971185
ARHGAP5,0.917682780610434
MAP4K3,0.91755853511485
LPP,0.917411251297092
TMEM267,0.91736528701429
ADAMTS19,0.917140432946648
ENAH,0.916770560024171
SHISA9,0.916743693395714
RSRC1,0.916263584009931
NBPF10,0.91622998849547
LIMA1,0.916184310611453
PRDX3,0.916015539518629
XPO4,0.91593919954131
ZNF37A,0.915937287021349
MASP1,0.915899692388286
DGKK,0.915839346538876
MKKS,0.91582114888527
DCN,0.915693523125761
C5orf63,0.915691991087711
CLK4,0.915224434188822
LMOD3,0.9151050083254
SLF1,0.915014711150081
ATP2B1,0.915001996193112
WDR26,0.914428750773714
HOOK1,0.914195888710876
ZNF582,0.913299156589968
PPP3R2,0.913195657381344
PCDHA9,0.913171274348237
TCEA1,0.913167933502119
ETV1,0.913028431702466
BUB3,0.912806651438302
SEL1L,0.912756163057528
LRRC58,0.912741019466011
CEMIP,0.912736826780759
SMIM21,0.912683457404693
PPP3CA,0.912589224654149
TUBGCP4,0.912489501980661
WWP1,0.911981518463825
NDST3,0.91163669464706
SENP7,0.911626487127478
PTBP2,0.911394512206345
GADL1,0.911314074183871
SLC6A6,0.910900911370622
NDEL1,0.910640594917731
NHLH2,0.910077039514612
KLHL4,0.910074273896241
SRGAP1,0.909880697044526
NAA25,0.90962102512632
ZMYM2,0.909552779844515
SIM1,0.909547748826862
RALGPS2,0.909164096519788
FGF13,0.909017490920033
FUT9,0.90886469043902
UNC80,0.907917795958545
TNRC6B,0.907240766634309
CRYZL1,0.907227965327323
FAM126A,0.906618756583725
BCAT1,0.906224160213432
SLC26A7,0.905935251197615
TSHZ3,0.9055727959928
RNF170,0.905512295985143
NIT1,0.9052366372058
SLFN5,0.905234759439109
LARP7,0.90482595128608
PHLDA1,0.904762515937016
ZNF655,0.904601614472256
ZC2HC1A,0.904396859310888
SRD5A1,0.904368596023554
FAM153A,0.904289710176715
LRRC70,0.9038421814847
SEC63,0.90359973802186
ZNF25,0.903330505295288
FAM204A,0.903259092539277
SPCS1,0.903139678627099
XPO1,0.902906325915972
UBE2N,0.90280353501237
SLC25A24,0.902685789603
PPM1D,0.902591610645027
PANK3,0.902275464209315
NCKAP1,0.902253300410747
ABCA10,0.90219588144507
BNIP3L,0.902132974521552
