Gene,Score
SYN1,0.99454796708572
PACS1,0.992483427136839
UNG,0.98991261328969
ID1,0.989442849798942
THSD7A,0.985845451434397
EME2,0.980470011720586
FAM90A1,0.980419328148029
ABCG5,0.9282407302552
NKPD1,0.919591633987198
PLPP3,0.915367021209708
SETD6,0.909696157063196
AC099811.2,0.908143654093936
DEFB119,0.907506957210587
FBXO15,0.904578219560041
TPBG,0.883614011625533
FAHD2A,0.878622356929561
DMTF1,0.87811531994777
GYPB,0.851450533215112
SCRT2,0.837067099050332
RFX3,0.827412880015572
RBM4B,0.826804798105727
ZNF575,0.822878482337251
SERPINA1,0.821518597995017
SMARCC2,0.820625304978196
TRPC5,0.820624521487542
TCP10L,0.80080676885356
