Gene,Score
UGT2B7,0.976620834127639
RDH11,0.97173146680291
SV2A,0.942082084029174
STK40,0.937454949718525
HOXB5,0.927749719533299
RASA1,0.925925124056844
THUMPD1,0.919397729297258
C6orf132,0.916183453548897
KDELR2,0.911370853171272
TIMM21,0.906536395853382
ZNF114,0.904679903753532
GTF2H1,0.897185753844509
EZR,0.896935986895694
PSORS1C2,0.884286398671691
ZNF396,0.879314877946508
CLEC5A,0.878132295560413
STEAP4,0.875535897326725
SPRY1,0.871381426715845
GTF2IRD2B,0.866750123988513
FN1,0.864012175617493
SLC17A8,0.856267884448847
ZNF471,0.852767992377528
THSD7A,0.844437941525622
SLC5A12,0.836171658311453
MEX3B,0.83526680468188
RGPD1,0.822210404726817
KPNA1,0.820813217668968
PLCL1,0.813477957945744
KCNA2,0.812810702439562
CBLL1,0.81267974500881
NFYA,0.811183126132257
UFM1,0.810896973030844
EDEM1,0.810827912013628
THOC7,0.804028208491181
AGPAT4,0.802237087434252
