Gene,Score
SESN3,0.998826811167778
KLHL23,0.998750542035082
PUM1,0.998595286535992
BBX,0.997893504105543
SYT1,0.997359019637814
LCOR,0.9968318587237
MLLT3,0.996764713604783
ESRRG,0.996392769136361
INO80D,0.996217049971735
SLC44A1,0.994661544350325
DIAPH2,0.994389343936335
HDGFRP3,0.99370667057833
DOCK10,0.993212281129145
NOVA1,0.992612942222896
PASK,0.992042963023388
BHLHE22,0.991959912779056
CACNB4,0.99144327110526
SMAP2,0.991193322337118
RAPH1,0.990966072050837
PPM1K,0.990826522940264
KIT,0.99031775061778
KCNQ3,0.989695721545132
LMBRD2,0.989450781746724
LEMD3,0.989042617007726
INPP4B,0.988223892723365
SUGT1,0.987046584649333
AFF4,0.986873848817483
GUCY1B3,0.986827615056357
SOCS6,0.986682260826947
TNRC6B,0.986063224274729
GPR137C,0.985918010074879
IKZF2,0.985769845067579
TMEM196,0.985600636410148
USP9X,0.984980558725912
CCDC144NL,0.984753258961448
IRS1,0.984662638840427
FUT9,0.984337465280662
HIPK2,0.984111176647702
CHMP2B,0.984064546201041
UBA6,0.983947425257661
CDKL2,0.983054271043702
ABI2,0.981912427221995
PLEKHA3,0.981384926487541
PHIP,0.981047832123608
SEMA6D,0.980714999257043
YEATS2,0.980561905929532
CDYL2,0.980283279666588
WDR77,0.97961484319857
CDH2,0.979532685410618
LNPEP,0.979240387997955
AL353698.1,0.978909905831576
ENPP4,0.976770005660596
CSRNP3,0.976307288669406
TECRL,0.975833398106183
SMAD7,0.97568199930186
PILRB,0.975602266591482
RBFOX1,0.975563973753373
AGFG1,0.9753454596412
ERP44,0.975059719223606
C1orf21,0.974498193492729
NRF1,0.974209920502698
VAMP4,0.973533307189335
ZC2HC1A,0.973399527707448
SSBP2,0.973271379075028
CREB1,0.973045782361546
PCF11,0.972513500718314
CPEB2,0.972039972910556
PRR23C,0.971962432358895
GPRIN3,0.971948535642957
NHS,0.971574498084407
CYCS,0.971533248163261
ARL5A,0.971357685451016
TFAP2A,0.971165605921208
STK35,0.971107769824472
LYPD6,0.970758330183678
SLC19A1,0.970602366403103
KLHL3,0.970017315364044
PCSK2,0.969237324893187
KIF13A,0.968018613955247
SOX21,0.967840885320972
PSIP1,0.967336944970687
UTY,0.966828459595919
SLC6A1,0.966614838604776
PPM1A,0.966059571160418
CGGBP1,0.965951398353949
ZNF326,0.965846841437904
PCDH18,0.965716801727875
RGS4,0.964950575851793
SATB1,0.964728956526778
CDK5R1,0.964483177107916
ARHGAP20,0.964259413009023
PLCXD1,0.963839726815375
KBTBD2,0.963710614489133
CTB-50L17.14,0.96338386688663
GSG1L,0.963197382969891
GRID2,0.963195532978396
KHDRBS2,0.961713414526617
GAD2,0.961119616504284
ROBO2,0.959651386642266
EPHA5,0.959628829819757
GABRB3,0.959218025834973
FOXJ3,0.958631595053186
SLC6A19,0.958413981017484
PAPD5,0.9583245152153
TET3,0.957726474944337
PRKCE,0.957643580236461
SAMD4A,0.957423068969062
MSL1,0.957283918394601
PIK3R1,0.956932662790332
HAUS2,0.956841348879394
RMND5A,0.956621376838706
C5orf24,0.956620088354967
MGAT4A,0.956605332893267
PEX5,0.956477853201881
WAC,0.956466262016353
TIMM10,0.95624632558388
U2SURP,0.955987025344318
