Gene,Score
STMN4,0.999465029582176
FGFR1OP2,0.999286941022668
STAC,0.99684297629414
ISL1,0.996737042194201
GNG13,0.996354830281808
PPP3CA,0.994377589151017
TFDP2,0.993419745582242
ENST00000619629,0.992318118569699
OAZ3,0.992280367002698
GPC4,0.989850816737411
RNFT1,0.989618300515811
AC073082.1,0.989176508145114
LMCD1,0.988256406982934
LPP,0.987579050846597
CNOT10,0.985598904042634
BHMT,0.983957371770527
CLIC4,0.982694719307569
SIGLEC1,0.981498726983041
ATP6V1A,0.981419381791411
MUC1,0.981197963554605
DCUN1D1,0.98119159236456
R3HDM2,0.979894064648304
MTCP1,0.979167416405111
ADO,0.97766951922101
MBNL3,0.976653695259595
KLHL3,0.974578554552182
AC006030.1,0.9710819201678
B3GALT5,0.971002562083069
EIF4B,0.968600351388039
RNF144A,0.964478092090048
RPS6KA5,0.964372946662758
ZGRF1,0.963898052071621
KDELR2,0.963605363575004
DGKK,0.962591518133386
RBM26,0.960585336156769
MBD6,0.959926851708896
PCNX4,0.958472049711325
RAD54L,0.957326237022972
SELL,0.956736626399073
MFAP3L,0.956052056556299
SRPK1,0.953942677465205
TLDC2,0.953237455522329
RNF157,0.950500389930538
FAM110D,0.949890309049817
NDUFS5,0.949164126380863
KLRK1,0.948022974581918
VWA2,0.947469453979789
CYP4F3,0.946337155321831
CCSAP,0.944419793708219
C4orf47,0.944050887837868
CLSTN2,0.941192996566312
CBFB,0.9394861789113
SLC2A1,0.9394175818288
CNTN1,0.938428111996813
C1orf21,0.935584949091636
BHLHE40,0.932587780129831
SETD3,0.932084987286471
CDK2,0.931122810136953
SMYD1,0.930406972496159
RSL1D1,0.929179540015566
HID1,0.928367237216756
LPGAT1,0.927784601552217
FLRT2,0.92614893371499
FRG2B,0.923061518662219
PRMT5,0.921370759224636
INMT-MINDY4,0.921248278543044
SLC12A5,0.919953552403779
SEC22B,0.919460280157807
MSI2,0.918509697522133
DERL3,0.917787723423887
FAM169B,0.917037230334065
GABRP,0.916558464607919
ITPRIPL2,0.916114354394206
GPATCH8,0.915336150136688
ENST00000558084,0.914720993405397
GRIK5,0.913548408659997
SMUG1,0.913076817699526
FXR2,0.912897676469915
NPNT,0.912894198701348
ZBTB2,0.9124606339297
VWDE,0.912081908512832
TPSD1,0.911674833387565
KLRC4-KLRK1,0.910506309059231
ZNF638,0.909950706409379
TRABD2A,0.909687804021028
MED1,0.909579136949139
UBE2L6,0.909315424432072
SYT16,0.909251397016894
HDAC6,0.906906673253239
BPTF,0.906563444496446
SLC6A6,0.906025031546882
CYP4F2,0.905871714662991
TAOK1,0.905421211552853
ELAVL2,0.904791883439903
HDAC11,0.903187955322554
GOT2,0.898269590907371
AMOTL1,0.897394111996705
IGF2,0.896069157300587
ASB14,0.895403223067186
LRRTM3,0.893287209194174
SEM1,0.893033744483031
RHOT1,0.892937296921773
ENTPD5,0.892348614178743
RBM5,0.891514038408485
SOGA1,0.887633166962303
RORA,0.887264987060669
LEFTY2,0.887227262407973
INPP4A,0.886429081177578
HNRNPC,0.88637516481226
BMPR1A,0.886353087087044
NKAIN3,0.885963023136744
KLF15,0.88563269545652
VCPIP1,0.884489888496833
TBC1D31,0.884346203619284
TXLNG,0.883878246436484
NEMP2,0.883753892287467
BCAM,0.883482321272179
FLG2,0.883046629956352
TRIM27,0.882975569167175
RNF34,0.882191928376369
BRCC3,0.88161702857715
TMCO1,0.879839240536984
IGSF5,0.879573398105941
C6orf62,0.878615030720766
YEATS4,0.875374304620307
MELK,0.87534772227077
HPSE2,0.874967963401464
ENST00000355257,0.874903660914463
CDH8,0.873853923584537
EXOC5,0.87374920499457
GATM,0.873295252445506
FRMPD4,0.873243717539319
DMXL1,0.872075381542405
BDNF,0.871387079296327
ACTN1,0.869467008857454
JMY,0.869153023500618
SLAMF8,0.86682717584086
DCX,0.866683592374927
TGM2,0.866027830339768
LRRC27,0.86549510049456
SOX4,0.865126544362239
KIT,0.864974935748267
CFAP161,0.864955955943654
ATF7IP,0.864883717410419
SHISA6,0.864729523972521
PON3,0.86454622632265
DYRK1B,0.863886235602765
RICTOR,0.862168552499769
ENST00000622765,0.861190334783749
