Gene,Score
SRSF5,0.992154889439612
ATP4B,0.96694323779576
RICTOR,0.956152093325395
FAM186B,0.943095144168163
SHBG,0.939156141606894
MRPS25,0.91773068035477
PPARGC1B,0.898751008671861
MR1,0.889176148181111
GDAP2,0.886832638553085
ESPL1,0.876128798127188
UPF2,0.872668351378964
AC022826.2,0.863262543981133
AP002990.1,0.846860945994063
NEBL,0.843210572972786
NEURL4,0.84186264528097
FAM90A26,0.838472554677693
FBXO38,0.835882238979387
MOSPD3,0.835357948655045
EXOC3,0.830767720823675
DPH1,0.820093962149736
STPG3,0.816677804066182
ADO,0.816407094490603
KCNH6,0.81489249911845
VPS52,0.808932883584782
ACTN3,0.806644125939933
FDFT1,0.80292568671041
SLC25A23,0.802633307895318
NCS1,0.802354185938207
TMC3,0.802263010383736
