Gene,Score
RBFOX1,0.99998307548967
CCNJ,0.999767844125663
CEP350,0.998847000242465
C10orf67,0.998760814034407
ARMC8,0.998530490673507
SLC35G2,0.997850662265897
ARIH1,0.99646198824484
PDE1A,0.995676916852377
JAKMIP1,0.995203858471026
KATNA1,0.994592265467436
GPM6A,0.990785706547709
ERCC6,0.990690744570107
MED17,0.985840231756337
MSANTD3,0.985406557641648
LUC7L2,0.983046775652527
HOOK1,0.980755982860453
FAM120AOS,0.979910423288651
CREB1,0.978423034140383
LTBP3,0.978218160178999
VAMP3,0.977991784628159
FLRT2,0.976882775088114
AFF3,0.976713363279323
RDX,0.972565726496235
CYP3A5,0.971579284068219
CHMP2B,0.970746016669451
NR4A2,0.970708331911683
DCHS2,0.970071761714555
KBTBD8,0.968153579202672
NFIA,0.966784256920519
USP22,0.965557212818374
OXCT1,0.965311304183367
COMMD10,0.964028446929733
STMN2,0.962540854163957
PTEN,0.959520081620241
NR4A3,0.959442583478913
PLEKHA8,0.955388044808622
DICER1,0.955196131274447
TXNDC17,0.955034389058097
BSN,0.946024098267648
SLC9A6,0.945840945718846
PTCH1,0.944865599972002
NUP205,0.944825649166974
CASC4,0.944623701814407
AMD1,0.943152439820131
ST6GALNAC3,0.942933735879494
MORN4,0.942816848344694
ZC3H14,0.941889722489769
BICD1,0.939981221994112
TMTC2,0.93927862810014
ADGRV1,0.937562296938172
WDR75,0.937329545598112
NADK2,0.935408639965205
MTMR9,0.934729720557089
KNOP1,0.933876357420013
ZFP69,0.932912249767065
CPEB4,0.931927378046506
MC2R,0.930130136225173
PBX1,0.927275303002517
FRRS1L,0.926549316468657
SPRED3,0.926159512575264
PARP11,0.925980740767251
FAM9B,0.925869267068699
TMEM170B,0.925844714084415
SKP2,0.925607613480823
PBX3,0.925536945533399
FAM168B,0.924459154503575
CSNK1A1,0.924440492156296
MSL3,0.92328937264615
RELCH,0.922251619022194
PLPPR4,0.921788886786212
RAB21,0.92127634502768
ZNF148,0.921145120897092
ENST00000558190,0.919351253687875
THUMPD2,0.919315176792832
PPP2R2A,0.918864862212731
FAM92B,0.918305965025008
GALNTL6,0.915741943892554
ADAMTS9,0.914912380484249
NEXMIF,0.914344795069149
SRSF2,0.913821290570099
TKT,0.911928550818607
NALCN,0.911617223247863
FAM167A,0.9100224617317
MAP4K4,0.909017864007189
ACOT11,0.904790958620354
PYGO1,0.903970532437458
ZFAND4,0.903697615314133
OTUD4,0.902795843540065
LCA5,0.902266706721984
WNK1,0.902001375779522
ATAD1,0.899808076565342
LMO3,0.899433734413416
TENT5A,0.899093205611489
YAP1,0.898851493364136
ENST00000377113,0.897397266340724
ENST00000408967,0.897220784644693
PAPOLA,0.896124443092872
NCALD,0.895872442671082
NAMPT,0.892437816817784
RPS6KB1,0.892033621965202
ARID2,0.887832244595301
SLC44A3,0.887669778741762
RABEP1,0.885493154979882
ZBTB41,0.885318947145644
GRIN2B,0.885231006147113
PPP4R2,0.885111827979362
KIAA0513,0.884979267981834
ZBTB43,0.882229281232091
ONECUT2,0.881821884420594
TOGARAM2,0.881189409008619
PITPNA,0.880960115663164
EIF4A2,0.880628617181795
RBIS,0.880195721269597
UGT8,0.879317745685732
CLOCK,0.878779045639577
EEF1A1,0.878181271928923
CDKL2,0.878141204095117
SMIM17,0.876838402588548
ALDH7A1,0.876243585592104
BCL11A,0.875340750625349
MGA,0.874802424037453
CDC14B,0.873849597658957
TNFAIP8L2,0.873179338314606
CDK8,0.872673311814441
GEMIN6,0.87255415954326
IFIT1,0.872120688223411
SYNE3,0.872011193960409
SLC6A8,0.87149718979247
TRAIP,0.870451010282755
ENST00000612180,0.870271676565644
XPO1,0.870245498540308
DNAJB5,0.869977594156085
MTHFD1,0.869654071514267
DPP10,0.869623357170657
DCC,0.868307897717948
ERBB2,0.867674361942616
MAGEC1,0.866923192204225
MGAT4A,0.866800556911464
SLC35E3,0.866458210612195
ZNF431,0.866177636999542
TLK2,0.865656196269416
ALG14,0.864444431719087
MINK1,0.863003653959726
NUP214,0.862905883619604
ZNF614,0.862777387615223
AK4,0.862459343691883
ENSG00000288702,0.861255713363401
KLHL7,0.860836271467166
RMDN3,0.860118384040241
ZNF527,0.859868106181803
PIGP,0.857020946069688
CADM1,0.85633061635346
INTS7,0.855531771062198
UGT1A4,0.853557661707313
ANKRD44,0.853396408323811
TRABD2B,0.852851717321679
SGMS1,0.852065781040457
ATAD2B,0.851576688425457
ENSG00000288705,0.850878153240118
SYT16,0.850864836147366
UGT1A8,0.849757637677586
PIAS2,0.849625331935007
UBQLN2,0.849320050598914
UGT1A10,0.84907052433554
PHF21A,0.849058560632919
MRPL48,0.849034048975881
DRAM1,0.848618831067513
AKAP5,0.848563181982537
UGT1A9,0.848339872405132
UGT1A6,0.84822530156678
RNF11,0.846352781464301
PTAR1,0.84557044322367
PLA2G4F,0.845530534990924
SALL1,0.844993594970732
ENST00000378688,0.844966503568326
KCTD6,0.844761890244082
MIER3,0.844545070421519
CCDC80,0.84387278860619
PPIP5K1,0.843405941542366
FLNA,0.841540849986584
SNCA,0.841234209425881
ADAMTS10,0.841040919687551
NHLRC2,0.840982664964861
GNAI3,0.840534252361061
CYSLTR1,0.840361385666285
ENST00000348428,0.839989274181962
KCNC2,0.839718794862535
RNF217,0.839588050917666
BACE2,0.839523800485313
IL33,0.839202008554541
TAFA4,0.839116508527205
CRIM1,0.83863124288345
STAG1,0.838413956609364
C4orf45,0.838291581279295
CDH26,0.838206171541332
XKR7,0.837975662250386
GABRB2,0.837476667061922
F13A1,0.836846256823352
PRMT9,0.836628167867803
EPG5,0.83649054364692
ANXA5,0.836389653984392
ENST00000373985,0.836015874318735
RFX3,0.834625608681989
CCDC85A,0.834403120999582
RNF111,0.833646950383944
NTRK3,0.833152536570604
SMAD2,0.832546981623854
SGMS2,0.831259017696776
PCBD2,0.829949338689967
NRXN1,0.829212122098311
SUGT1,0.828945426160047
GRM5,0.828276885695984
PCDHA6,0.828088755455448
DPYSL5,0.827736160440537
PRPF4B,0.826876764159805
VLDLR,0.826495814198923
PSMD1,0.826430164548954
C4orf50,0.825764093653603
LTA4H,0.825195334117561
CLCN1,0.825193112099291
MBLAC2,0.824562607448523
ENST00000481445,0.824236753843043
CASZ1,0.8240327512142
DNA2,0.823175072871774
EFNA5,0.821093957859521
STRBP,0.820617334598571
TPD52L1,0.82051464164783
C1orf21,0.820246914645943
MOCS2,0.820137084234433
TNRC6C,0.81948803107389
TRIM13,0.819346919393742
EVC2,0.817204068532987
GPR85,0.81695287361998
KLHL28,0.816874409193654
COL9A1,0.816841242193087
NDUFS1,0.816326189419373
RSPO3,0.814901940574907
CORO1C,0.814382344340672
FAM155B,0.813590718133683
GSPT1,0.813444794348127
EBF2,0.813360896572448
KDM6A,0.812894216078393
BBS4,0.812350706136361
CRP,0.812332124481844
NEMF,0.81128618406768
PHF3,0.811264021877377
INIP,0.810673314768116
CLDN1,0.810555221953114
N4BP2,0.810285386568603
RSL1D1,0.809391123726873
TREML2,0.808826187058864
ABL2,0.808608318885613
OLFM3,0.807709204258672
CSNK1G3,0.807643282104257
BIK,0.807611992293324
