Gene,Score
PPP3R1,0.999960616004498
SLC1A2,0.999815385156288
ZBTB37,0.999492261168137
SLC4A4,0.999451773630792
RC3H1,0.99917900438323
MEF2C,0.999020418374733
BBX,0.99881861276015
RAP2C,0.998677418184786
CELF2,0.998102232793474
ZNF704,0.996964061782255
HS2ST1,0.996417262176724
NFAT5,0.996411603937543
GRIN2B,0.996173991320554
FLRT2,0.995741161758962
MRRF,0.995560372547136
GRID2,0.995361713602044
NTRK3,0.995336414811604
ZNF585B,0.995130845416815
SRF,0.994061175755641
ENST00000615031,0.992564087607899
MTAP,0.992457240218513
STXBP4,0.992440294548705
SIAH3,0.992174190069171
ARIH1,0.991444659767066
LIX1L,0.991359466279578
ERV3-1,0.990993338981885
HSPH1,0.990975705056244
CASK,0.990838571514238
SMAD2,0.990286581372175
NOVA1,0.990242158370079
SYT14,0.990084657206984
FAM76A,0.989675743643686
ENST00000268035,0.98946719185698
CD93,0.989308714493203
CSNK1G3,0.989202707465101
SFT2D2,0.988955653545305
XIAP,0.98857724846403
RLIM,0.988539134573885
AGO2,0.9884748316879
DNAJC13,0.988226280036628
PGPEP1,0.988116572129001
ADAMTS6,0.987595626762795
DYRK1B,0.987384420929563
BRPF3,0.987300497913508
SPRY3,0.987298527490305
DGKH,0.987149433916511
SAR1B,0.987135541145416
BRS3,0.986559874581495
INO80D,0.985967806689226
ENAH,0.985821694238752
KLF7,0.985468150992152
MSI2,0.984997763531227
BEND7,0.984873858600551
LYRM4,0.984543692106608
MYLK4,0.983972682028098
FOXJ2,0.983692319822575
GSPT1,0.983524454354658
FAT4,0.983199629344683
PIAS2,0.982868618951646
RFX3,0.982585121049539
IGSF3,0.982392252519472
SRGAP1,0.982111550479987
FAM126B,0.981832536353446
TSHZ2,0.981331523582319
ONECUT2,0.980671109329048
ATL3,0.9806231105192
FAM107B,0.980182384636649
CSRNP3,0.980116579457521
ERBB4,0.980028470768487
DCP2,0.979983734480118
ZFP36L1,0.979653541740652
KSR2,0.978697323995886
TMEM33,0.978008085544588
ARL5A,0.977871007780967
SEC22B,0.97775863004934
MTPN,0.977698131309328
PIK3R1,0.977420863315819
SLC10A2,0.977347834947423
APLNR,0.977183105161716
PLEKHA3,0.976461967730591
BMI1,0.975491956141733
FAM155B,0.975035782598576
AR,0.974781543056853
ENST00000378688,0.974327469647403
IPCEF1,0.97389585877383
FGF13,0.973885815888024
DPH6,0.973844494431031
TSPYL4,0.97352098201141
SLC4A8,0.973280276435927
PCDH9,0.973275837811644
CLK4,0.973032914948698
LCOR,0.972898429709311
KCNC4,0.972863202488244
ELAVL1,0.972857862601342
TNFRSF11A,0.972753543927161
VGLL3,0.972413004238603
SIX3,0.97239080812289
UBE2E2,0.972068006418454
RIC8B,0.970668465073018
C1orf21,0.970436820565142
SIM1,0.969775940603971
XPO4,0.969714833001828
EIF4A2,0.969689056292342
ATP11C,0.969595875436404
MYO6,0.969461621992449
PAIP1,0.969335924441315
EPB41L4B,0.96929996558632
GNG12,0.969037549074918
ZNF19,0.968993672638686
KDM5B,0.968126243487365
TAFA1,0.967993213746422
MAP3K9,0.967662602048601
XKR6,0.967620987455109
FZD3,0.967463846118829
RARB,0.966640586976567
SHANK2,0.966596259627556
PKD2,0.966455371593851
ZNF280B,0.96621771134227
PARP8,0.965774777922589
MYSM1,0.965720754987131
PPARGC1A,0.965717498365755
