Gene,Score
TP53TG3E,0.999456739764261
TP53TG3F,0.999430213737031
TP53TG3D,0.99942714712697
TP53TG3B,0.999423598247695
TP53TG3,0.999391479203127
MOSMO,0.998571464086918
ATP6V1C1,0.998395383788986
FAM131A,0.998118841624579
CELF2,0.997301950169542
EIF4A2,0.996474993616641
ARIH1,0.996421122609589
PURB,0.996376213370695
AL713999.1,0.99608318228551
CAMTA1,0.995545784408653
CECR2,0.99536142404709
FGF9,0.994748891660907
XKR4,0.994658966382375
NSD2,0.993759634227768
IRS1,0.993451403485839
STMN2,0.993059513528788
DCUN1D3,0.992377647565431
CLEC4A,0.992183395864084
LDLRAD4,0.991699822615044
FRYL,0.991557885042805
VAMP2,0.991033398862879
ADAMTS6,0.990340877787667
CSRNP2,0.989146500749786
RABL3,0.987400698175341
ATG14,0.986549360866103
ARF4,0.986282253442024
GABRA1,0.9859561559716
AMMECR1,0.98516714682015
HEY1,0.98471899797398
RAPGEF4,0.984248517391567
RBM46,0.983785920599693
TM2D3,0.982830582110439
NFIA,0.982733903423633
SSRP1,0.982362719877444
COL14A1,0.980355454633166
RGS18,0.979924075951971
GARS1,0.977829337935135
ADCY10,0.977213463121199
MAP2K4,0.976849373734327
MPHOSPH8,0.975686655271952
OTOR,0.974723548179175
PPARGC1B,0.974561304253424
SALL3,0.974494952101006
ZCCHC24,0.973863252627992
PPP1R3C,0.972733361889424
PLXDC1,0.970567270528205
SRSF10,0.969686001387005
PKIB,0.969506255334718
HOXC10,0.96870164494405
MTMR6,0.968632715516423
ITIH5,0.96839346003969
ROBO2,0.968324203474538
SSPN,0.968135828646801
ITGAM,0.967798209435095
RRAGD,0.967574016870569
RRAGC,0.96734390413092
TMED10,0.96728422970322
DNAJA1,0.966698417202019
PTPRD,0.965878405000597
C18orf25,0.964223072135647
C2orf16,0.963515699889016
KCNJ6,0.962880446785158
BCAT1,0.962876494401524
FAM120C,0.962595139446179
HECW2,0.961590798880905
HTN1,0.961360527451535
MRFAP1,0.960278231752135
EIF2AK1,0.960038370500143
ATXN1,0.960022978343439
PDZD2,0.957766452812248
PCDH9,0.955994890971533
PRR9,0.955909090514493
TFPI,0.954881837345198
RNMT,0.954438850277632
NETO2,0.952453610497228
COQ5,0.950237399134354
IRF2BPL,0.949820800956783
RC3H2,0.94973304360922
POP1,0.948321014871088
FXR1,0.947476488078086
CDX2,0.946957086365968
SLC25A12,0.946660673846538
ZNF429,0.946014499872094
PPP2R2B,0.945945315063969
EFNA5,0.945717086976164
ZNF773,0.944500776082485
YWHAG,0.944387319062248
C16orf92,0.943776452796727
SERPINE2,0.943310290681618
FLRT2,0.942472562658879
GPR107,0.942439714668409
KPNA2,0.941666572615688
SOX4,0.940735587272631
TRIM2,0.940551683233562
UBE2R2,0.94021657166539
PDPK1,0.938697495302404
TRMT6,0.938456735532752
EIF5,0.935662376294004
SLC15A5,0.935571963705967
PANK3,0.933713320895808
SLC5A3,0.933059636061216
SLC24A2,0.932003396072455
PKD2L2,0.931673531557551
MARCKSL1,0.930700458905544
BEND7,0.930665873153283
SLC4A8,0.929486402119149
THRAP3,0.929197360823845
MESD,0.928565248818579
PRICKLE2,0.927167060741028
FRMPD3,0.926785488024278
B3GAT1,0.925462412419196
DUSP12,0.924944502575405
SRF,0.924860231724913
TBC1D15,0.923299558410274
MCOLN2,0.922875258033212
SRGAP1,0.922652000567057
RTL4,0.92194032462595
GRHL1,0.921840606629793
RPLP1,0.920936323782029
NR1D2,0.920510136257853
BCL2L1,0.918314547620481
PEG3,0.917538413135418
RTF1,0.917459960158487
TBR1,0.916806107387586
PPP1R17,0.91679028503152
CBL,0.916290616621227
ENST00000306867,0.916232988753491
CDC73,0.915256442780601
TOMM70,0.914983203709472
EMP2,0.914251721092538
GINS1,0.91394747521672
CDK16,0.913864414294398
NXPH1,0.912888744408395
CYCS,0.912417735670804
CALN1,0.911984707994736
CYP3A7,0.91188102153753
KIDINS220,0.911669653847922
DCUN1D1,0.911055477749704
LASP1,0.910980794472097
IL17RD,0.910859892376028
GNAI3,0.910531066411639
TMEM101,0.910360546758781
ANP32B,0.910170379619459
MMP13,0.910106176390366
TANC2,0.910003022611529
PRUNE1,0.90973740628704
MAT2A,0.909532969393514
TFAP2C,0.908539331403854
TCIM,0.90852820913964
STK17B,0.907812559504924
RPS24,0.907411497057119
PXYLP1,0.907293865582099
PPP1R1B,0.907195615782102
WNK3,0.906358308907725
ITGA6,0.906312905248733
SPATA5,0.905976086076494
STXBP5L,0.905259848092116
CD163,0.904159686890101
EPHX4,0.903574899704469
GTF3C3,0.903105146860221
MDH1B,0.902570099974434
CSRNP3,0.902488409683578
BNC2,0.900831158759933
THSD4,0.900589032655437
TRIM38,0.900480924804158
SPPL2A,0.899900229893636
SHC1,0.899475187458995
GNA12,0.899461574427903
DGKE,0.899225195072073
GDAP1,0.899223730045572
RAB9B,0.899213597667773
LIPH,0.898466048018361
ADCY7,0.898140364542468
UGCG,0.898026853982071
DCAF8,0.897497652805526
ASB15,0.89744445914242
UNC45B,0.897017193609498
KLF7,0.896836667520541
CNR1,0.896198671179089
KLK11,0.894985201424384
HOXA1,0.894358690164522
ATP6V0B,0.892771158863224
GAREM1,0.892418467773922
COL4A1,0.891736413509803
SFPQ,0.890005133103915
SP1,0.889627334872316
LYST,0.888609532582714
PDIK1L,0.88788761719096
SOCS4,0.887716167520931
NIPA1,0.887617991542887
PAK3,0.887040262745571
CDK14,0.88679845959768
ELF4,0.886108110710168
CADM2,0.885756383269348
SFTPA2,0.885685550160028
USP12,0.885609654670342
PPP5C,0.883965781075064
AGO4,0.883930878356857
CUL1,0.883372203778903
JADE1,0.8828072186823
PPM1E,0.881355528152943
RERE,0.881278907458081
DACH1,0.879722905955078
MS4A4E,0.879636352751715
FAP,0.878994005249282
ATP2B2,0.878952300683786
CHRM3,0.878654125998558
CA12,0.877960903509908
KCNMB4,0.877240134589099
DNAJC3,0.876649793742743
EYA3,0.875806423352985
PTBP3,0.875706002486705
PPIP5K1,0.875391204520021
GATA2,0.874908413662627
DGKQ,0.874511512098061
ITFG1,0.874413561439422
NOTCH3,0.874156314547758
PROM2,0.873082546303864
RBM5,0.871354419572886
DIS3,0.871203709271412
FAM169A,0.870063833576604
MMRN2,0.869608341024426
CLDN2,0.869426096439386
DLC1,0.869369071301614
MROH7-TTC4,0.869314352144206
TVP23A,0.869124386815916
IVNS1ABP,0.868340835399968
LYSMD3,0.868071397017593
HECTD2,0.8678440260893
NFKBIB,0.86712649239149
FBN2,0.866840959199313
MUC1,0.866597564049031
TRAF3,0.866230735873618
BMP6,0.864788045424653
SV2B,0.863670731222809
BHLHE40,0.863635907444558
MIER1,0.863330489964484
FTO,0.862866106575059
PWWP2A,0.862425564952798
PKIA,0.862051004000317
SLC14A1,0.86174013590994
CD180,0.861280619805484
NCR3LG1,0.86124659052633
RUNX2,0.860509400402963
ZNF382,0.859668867920992
MIDEAS,0.858853715230906
SYT16,0.857851179141999
ENST00000373985,0.857784050521384
EWSR1,0.857728007347953
GABRE,0.857376701714956
RACGAP1,0.857335448365631
KPNA1,0.856777851847121
MAP6,0.856444286935427
HHIP,0.855859618751813
MAST4,0.855503808089137
MOGAT2,0.855473491375651
RCAN3,0.854908631311989
DCX,0.854771426920033
IKZF3,0.854232571924181
TEAD1,0.854174778575299
CPSF6,0.854173433273646
TIMMDC1,0.853703095258767
SLC38A4,0.853625957258721
RALGAPB,0.85347659791031
TP53AIP1,0.853358437909928
FAT1,0.852822560671109
AL359555.4,0.851964241278993
SFTPA1,0.851757749554335
POP7,0.850564651641416
CSNK1A1,0.850530871513309
HIVEP3,0.850314398462604
RNF214,0.850157528526607
ENST00000366562,0.84990969145268
AAK1,0.848700710749908
KCMF1,0.848556111842787
C12orf66,0.848096523216087
NMD3,0.847829630304265
PCDHB6,0.847574316949879
AC023055.1,0.845910340191296
HECW1,0.845863088206812
INO80D,0.845647687348118
ATP6V1G2-DDX39B,0.845136061719447
STXBP1,0.843695738430386
DUSP19,0.84355986810378
ENST00000615798,0.843313156506367
ZNF207,0.843029767130486
APPBP2,0.842973152770564
MED13L,0.842955965591234
ALPK1,0.841154807890225
ZNF407,0.841027249863306
YTHDF3,0.840779465212814
PTCH1,0.83924254100146
ZNRF1,0.839114062792616
RXFP1,0.83852203037362
MLLT3,0.838457330024016
STS,0.838349951304594
ANOS1,0.838348492377068
SESN2,0.837782137047861
FASN,0.837701395633458
AGO2,0.837244987457102
SLIT2,0.836864024783733
BBS7,0.836842985940113
RAPGEF2,0.836616361133766
SEPTIN6,0.836553190023147
ETNK1,0.836335623200608
PPM1F,0.835566413471474
CPEB2,0.834788228021175
ALDH1A2,0.834377643226585
ZC3H6,0.834055437122815
PARD6G,0.833884486550783
ARF6,0.833645816711919
OPRD1,0.833406818375151
FOXD2,0.832631049251835
IRF2BP2,0.832329577603371
CNTNAP2,0.831976871037435
CALM1,0.831379228335958
TSPAN31,0.831327801526802
HSPH1,0.830963884898539
KCTD16,0.830513506113848
SEMA5A,0.829836583897551
ABHD13,0.82959088147959
MIA2,0.829470383139418
PSEN1,0.829264821249787
TNKS2,0.829034376016704
DZIP3,0.828630259639207
ROR1,0.828285024801271
PCDHB1,0.827822076866216
ACVR1,0.827797178996098
RAB21,0.827755680994431
MAP3K2,0.827443375441775
STON1,0.82720314741233
RBMS3,0.826554222170015
NOL9,0.826138549934372
UBXN7,0.825941843637779
KIF3B,0.825692770866407
PSMA1,0.825525416182165
WDFY3,0.825382333510141
IL6R,0.824932544730971
CCSER2,0.82452156369782
RELCH,0.824312869188144
PRR16,0.824282938827702
DCTN5,0.82398476738411
DNAJB14,0.823936226658737
GABRG3,0.822894683005066
GCC2,0.822854592633815
POU2F1,0.822569603128739
RBM28,0.822242612080044
TACC1,0.821979550183958
STON2,0.821338319170062
RIF1,0.820739628322725
RNF220,0.820537376534304
ATF2,0.820334826854661
CFAP44,0.820322598781858
FAM126B,0.820205754952292
LONRF1,0.8197099675359
REV3L,0.819090876854013
CCDC144NL,0.818861748900723
TXNL1,0.818797037536078
PHF20,0.818014428517062
SRP14,0.817792679245315
SEL1L3,0.817723676248834
NRXN3,0.81735427873477
SMPD3,0.817166727268501
PTAR1,0.817042130020583
ABHD14B,0.816840863098771
SEC11A,0.816338789057664
DRD1,0.816276561885658
KCNH8,0.815947501244888
DOK6,0.81581154248204
CEP41,0.815477837207823
NXF1,0.815158347700635
GABRA2,0.815004428399791
ZBTB33,0.814886343360573
MIER3,0.814227217169972
FBXO40,0.81361241041773
PEG10,0.812931376588616
SLC17A6,0.812738568343274
NCBP3,0.812360598027944
ABCA1,0.812291894087629
ZNF596,0.812261979282408
SYNPO2,0.812250920968345
CLVS2,0.811570214122186
CYB561,0.811228765739565
KCNJ2,0.810659748515241
ZNF268,0.810228427054504
DTWD2,0.810030401415845
FLVCR1,0.809956283206536
C1orf116,0.809569519522735
ZNF85,0.809417071130941
AMOTL1,0.809108704121688
HLA-DOA,0.808349675237523
QTRT2,0.808252133221876
ACO1,0.807720582904603
PARP12,0.807618135938379
MTF2,0.807519607129079
KLRD1,0.806754719329832
SYBU,0.806472228238365
KCNN3,0.805868406103368
WWTR1,0.805626978067064
JPT2,0.805493996852208
UBTD2,0.805380289338104
WNT8A,0.805123997324691
SALL1,0.804789976387425
ZC3H12C,0.804576772114495
TSPYL6,0.804451017222766
PINK1,0.804198268678469
KCNT2,0.8040467605899
MGAT4C,0.803701773417096
RTTN,0.803499392217376
ENST00000378300,0.802896283776645
CTDSPL,0.80273689336717
TSPAN14,0.802696101566519
CDC23,0.801711393907343
GRK5,0.801592820891344
KLHL2,0.801563874539095
PCF11,0.801259786226032
RBFOX2,0.801232616866412
RPS6KA5,0.800783759281276
DUSP6,0.800755651218724
YWHAB,0.800391998937349
