Gene,Score
TRIM71,0.999999996432934
FIGN,0.999999766245973
IGDCC3,0.999999281076451
LIN28B,0.999998940463027
YOD1,0.999995662310559
COL1A2,0.999994485092861
ARHGAP28,0.999993114294328
SKIL,0.999992185127133
MAP4K3,0.999990977585196
NR6A1,0.999990324593309
BACH1,0.999987978483034
IGF2BP1,0.999987724579898
HOXB1,0.999985620829361
RNFT1,0.999976201907363
GDF6,0.999963901615596
CAPRIN2,0.99995766389648
VSTM5,0.999939114945373
ARID3B,0.999932173017904
COIL,0.999929933690533
PRTG,0.999927181944925
PLEKHG6,0.99988760756289
PRKAR2A,0.999833940339943
ACTB,0.999801941492549
CPEB1,0.999793092431905
SYNCRIP,0.999773454115797
AHCTF1,0.999769988523674
POU2F1,0.99976971256706
ARHGEF38,0.999723913349457
ULK3,0.999697457637271
GAN,0.999697453409494
SLC35D2,0.999672569872935
FAM214A,0.999658635933042
NFAT5,0.999622946765434
ALG9,0.999535924336532
FAM222B,0.999496022385522
BCAT1,0.999482817184106
RICTOR,0.999433166573368
IGF2BP3,0.999355381762614
CCNJ,0.999321264743191
IL13,0.999287664786755
LRIG2,0.999255442365078
C14orf28,0.999195077004679
COL3A1,0.999158694003713
SLC6A5,0.999056400536706
ZFYVE26,0.99897587162883
HIP1,0.998771862378292
FRAS1,0.998651574756316
MAP3K1,0.99856908412595
TGFBR1,0.998561392680634
PRR23A,0.998429627700156
DDI2,0.998374663713271
WNT9A,0.998311145138238
GAS7,0.998287077499459
LIN28A,0.998020125605662
ADAMTS12,0.997997093868784
PTPRK,0.997902656429204
HAND1,0.997844551362567
MBD2,0.997766819791137
GALNT1,0.997548170825598
MYCN,0.997500230331304
ZNF341,0.997343154998628
ACVR1C,0.99732794656575
SFSWAP,0.997269629678131
MRS2,0.996894089349444
ADRB3,0.996848319398977
UTRN,0.996730417289978
REV3L,0.996387088735029
TTLL4,0.996107027677869
ZNF738,0.995966857162523
STX3,0.995959804275674
PAPPA,0.995937184043575
PBX3,0.995768637831811
ADRB2,0.995435476486686
ING3,0.995421450622165
LA16c-431H6.6,0.995388718876181
SMIM3,0.995100581735664
XKR4,0.99507825562335
SIGLEC14,0.995068979880732
XKR8,0.994969642199113
ADAMTS8,0.994937960998659
PPP1R15B,0.994863916247705
FNIP1,0.994782771189569
USP44,0.994427305491386
RBMS1,0.994120749330206
CLCN5,0.993880939997078
MAPK6,0.993795209472224
NGF,0.993448110973967
KHNYN,0.993363543158011
EDN1,0.992970198288186
COL27A1,0.992964210561797
ACSL6,0.992772282148989
PTCH1,0.992568491517804
ERCC6,0.992568401109985
IGF1R,0.992473836651053
ASAP1,0.991989893300757
ZBTB26,0.991802859389031
CTD-2535L24.2,0.991402144711919
PPARGC1B,0.991211940904534
OSMR,0.991195204786949
ATPAF1,0.990755757840308
SNX25,0.99034853523054
C8orf58,0.990197107103213
PPAPDC1B,0.989937005999103
SENP2,0.989767519245687
TRANK1,0.989747325196134
ACVR2A,0.989628432205731
MXD1,0.989417586750389
ONECUT2,0.989329277130672
GCNT4,0.989286912056759
CCDC71L,0.989277359775397
MAPK8,0.988967467217351
CDH8,0.988904236171073
PPP4C,0.988883021948796
KCTD21,0.98845847431181
PARP8,0.988389526721621
LCORL,0.98823570348729
DDX19B,0.988180590198516
RASGRP1,0.987637450430245
IRS2,0.987398739372031
CBX5,0.987053671950612
CPA4,0.986530446839494
FOXP2,0.98651647111163
PRPF38B,0.986400671843906
CPM,0.986373769235751
HIF3A,0.985995732142731
FRMD4B,0.98596337210074
DPH3,0.985841269544292
CNTRL,0.985669676118908
ANKRD49,0.985519191756428
DUSP22,0.985096483076213
AIFM1,0.98490992743878
ZNF280B,0.984779135669154
RPS6KB2,0.984773248934718
TTC31,0.984221559749731
TMEM211,0.98398727301543
CLDN12,0.983893006584103
SYNC,0.983692697193765
IGDCC4,0.983581579238419
ADAP2,0.983405206872484
SMC1A,0.983014837342545
PXT1,0.982297055255618
TNFSF9,0.982175066327793
DNA2,0.982058388069651
RANBP2,0.98199542443527
NYNRIN,0.981904827961003
ADRB1,0.981549268748026
