Gene,Score
ENST00000615798,0.984847324902901
FCGR2C,0.984360422338355
ZNF141,0.977554255785104
VSIG1,0.951859994528305
MPC1,0.944784621368128
GANC,0.943831840079964
ZFHX3,0.933497063629038
NCAM1,0.925735915772773
VEZF1,0.922936562801724
RNF111,0.919183612339971
BNIP3L,0.919043610147046
BBX,0.911281209700211
CUX1,0.908823922115976
PLEC,0.90779398475394
NAA30,0.904221388954468
PRKCQ,0.901353592264218
SESN3,0.892683728252913
MYOT,0.892086804325845
TSC22D2,0.890550606021718
CLCA2,0.890137820737263
CD58,0.890131474435679
SALL1,0.890025317776816
WLS,0.888282368870213
CDK13,0.880163323069182
FAM53C,0.879232997590359
PBX1,0.878595724298569
FLRT2,0.875148372513737
RBM5,0.874483799571445
SPX,0.873699632154324
EBF1,0.872279103999175
FBXO28,0.862886997383269
SLC6A6,0.862059660731629
ZC3H12B,0.858280975289152
PEA15,0.856623043433
LRRC58,0.854767769167937
SLIT2,0.851492077985303
SATB1,0.848866592739722
RTL3,0.84547369922797
EXD2,0.844085365706151
LHX2,0.843948418157214
ITM2A,0.84391487544198
NTRK2,0.840262448706156
ENTPD3,0.839704254616135
RNF38,0.837723614755128
MTAP,0.836121588209894
PEX10,0.835105098810034
HERC4,0.834965422889473
POLA1,0.834395891486563
SLC26A7,0.831734532988699
LIN54,0.828984702993933
SLC1A3,0.821692807377957
ARHGAP20,0.82105656065593
TSHZ2,0.820794311953748
RIOX2,0.820109402499699
SLFN12L,0.818295352754121
ATXN7L3B,0.817512672184755
LRRC49,0.817507636911111
SLC5A8,0.816532522461021
CTSC,0.816365771756195
PCDH20,0.816301021162082
HNMT,0.815386970637494
BMT2,0.814096283272898
ITGB8,0.813374054158775
TAF3,0.812691491143196
SLC30A1,0.81035886246079
MSI2,0.805230825828101
LSM12,0.804398697076123
ADPRHL1,0.803607145367977
CRIM1,0.803258719578608
PPP2R5E,0.801911450666957
OLFM3,0.801500547189272
TMX3,0.801465581540577
