Gene,Score
UBE2H,0.996692128964383
SLC8A1,0.982501595494984
EBF2,0.979459438426684
ENST00000612396,0.966754886297936
ZNF571,0.962463019446455
KRTAP1-1,0.953954958082493
OSBPL8,0.948028194000094
SYT10,0.926555607668314
AC073612.1,0.926546865903595
ZNF451,0.924533231514532
CASP7,0.9230370678916
RAET1L,0.916660039020356
PDYN,0.914311176134416
RPAP1,0.911256205276516
RYBP,0.910116047973861
MAP3K2,0.90374584272544
ATF7,0.902716742777884
SPEN,0.901762594170276
GCM2,0.901673603599347
NCR3LG1,0.898370079263182
CCDC66,0.894700484489201
CHCHD1,0.893710475852508
SEC23B,0.890146899092643
TMBIM1,0.888797202677512
OOSP2,0.880853858087437
ASCL1,0.87908854350429
CSF2RA,0.870051847757684
CYP2U1,0.869530853492906
EMSY,0.867140981313616
SH3BGRL3,0.86538474815062
S1PR3,0.86389655262805
LILRB2,0.858103911353606
FOXO3,0.852280313015476
ANKRD34B,0.851520176109995
BNIP3L,0.849479183153162
PTBP3,0.841200433360272
TEX13D,0.837164783772591
PLEC,0.834367624543347
ENST00000521891,0.834359518042495
ZMYM1,0.834214699053086
HSD17B4,0.833336715311993
MOCS2,0.833267724190598
IQCB1,0.824926966438611
RELCH,0.824050430417062
ZNF862,0.823620877325193
DNAAF5,0.821524669197216
TCF7L2,0.820758034817395
ZCCHC4,0.820739008381631
ENPP4,0.820724851726586
ZIC5,0.819595770618203
SEC14L1,0.819096594509469
NR4A2,0.818332431368513
PDP2,0.818133228529478
ATF3,0.81785087392684
FRMPD4,0.815859334887121
ADAMTS6,0.810392984523588
SLC7A11,0.801242798003675
NCKAP1,0.800659908469642
PSD3,0.800586316662506
AK4,0.800026740909494
